上海华氏大药房雷允上昌化路店,地址：上海市静安区昌化路520号,电话：021-32160621,
上海华氏大药房雷允上华德药房,地址：上海市静安区延安中路876号,电话：021-62177592,
上海华氏大药房雷允上愚园路店,地址：上海市静安区愚园路474号,电话：021-62522746,
上海华氏大药房雷允上江宁店药房,地址：上海市静安区新闸路921号-1,电话：021-62587516,
上海华氏大药房雷允上向新药店,地址：上海市静安区富民路140号,电话：021-54030025,
上海华氏大药房雷允上新德药房,地址：上海市静安区海防路402-404号,电话：021-62982965,
上海华氏大药房雷允上华兴药房,地址：上海市静安区华山路457号,电话：021-62485930,
上海华氏大药房雷允上新宁药店,地址：上海市静安区延安西路427号,电话：021-62483579,
上海华氏大药房雷允上余姚路店,地址：上海市静安区余姚路365号,电话：021-62539051,
上海华氏大药房雷允上陕西北路店,地址：上海市静安区陕西北路111-115号,电话：021-62892153,
上海华氏大药房雷允上天益国药房,地址：上海市静安区江宁路332-2号,电话：021-62586563,
上海华氏大药房雷允上百和堂药店,地址：上海市长宁区长宁路87号,电话：021-62262404,
上海华氏大药房雷允上北京药房,地址：上海市静安区石门二路200号,电话：021-62712269,
上海华氏大药房雷允上明华药房,地址：上海市静安区长寿路1055号-1,电话：021-62304793,
上海华氏大药房雷允上南京西路店,地址：上海市静安区南京西路870号,电话：021-62179335,
上海华氏大药房雷允上万航药店,地址：上海市静安区万航渡路621号,电话：021-32160623,
上海华氏大药房雷允上诚都药房,地址：上海市静安区大沽路501-503号,电话：021-63273042,
上海华氏大药房雷允上泰众药房,地址：上海市静安区淮安路843号,电话：021-62767838,
上海华氏大药房雷允上药城店,地址：上海市静安区安寺华山路2号,电话：021-62498998,
上海华氏大药房雷允上德心堂药店,地址：上海市静安区康定路68号,电话：021-62564579,
上海华氏大药房雷允上中药店,地址：上海市静安区石门一路43号,电话：021-62158679,
上海华氏大药房雷允上静中药房,地址：上海市静安区西康路266号,电话：021-62532264,
上海华氏大药房雷允上行支路店,地址：上海市宝山区行知路332号,电话：021-66361210,
上海华氏大药房信谊芷江店,地址：上海市闸北区西藏北路874号,电话：400-889-1700,
上海华氏大药房雷允上康定路店,地址：上海市静安区康定路1413号-1,电话：021-32160620,
上海华氏大药房信谊店,地址：上海市闸北区芷江西路455号,电话：400-889-1700,
上海华氏大药房雷允上国际药房,地址：上海市静安区巨鹿路915号,电话：021-54035917,
上海华氏大药房信谊中兴店,地址：上海市闸北区中兴路1267号,电话：400-889-1700,
上海华氏大药房雷允上永健药店,地址：上海市静安区康定路720-728号,电话：021-62530380,
上海华氏大药房信谊延康店,地址：上海市闸北区延长路231号,电话：400-889-1700,
上海华氏大药房信谊新健店,地址：上海市闸北区大统路185号,电话：400-889-1700,
上海华氏大药房信谊强力店,地址：上海市闸北区闻喜路1112号,电话：400-889-1700,
上海华氏大药房信谊万象店,地址：上海市闸北区虬江路1469号,电话：400-889-1700,
上海华氏大药房信谊常青店,地址：上海市闸北区海宁路1337号,电话：400-889-1700,
上海华氏大药房信谊强华店,地址：上海市闸北区宝山路519号,电话：400-889-1700,
上海华氏大药房信谊同泰店,地址：上海市闸北区中华新路587号,电话：400-889-1700,
上海华氏大药房信谊前锋店,地址：上海市闸北区闻喜路710号,电话：400-889-1700,
上海华氏大药房信谊同康店,地址：上海市闸北区临汾路1246号,电话：400-889-1700,
上海华氏大药房信谊宝山路店,地址：上海市闸北区永兴路11号101室,电话：400-889-1700,
上海华氏大药房信谊平顺店,地址：上海市闸北区沪太支路718号8号房,电话：400-889-1700,
上海华氏大药房信谊真光店,地址：上海市普陀区真光路1331-1335号,电话：400-889-1700,
上海华氏大药房信谊天潼店,地址：上海市闸北区天潼路500号,电话：400-889-1700,
上海华氏大药房武川路药房,地址：上海市杨浦区武川路75弄58号101室,电话：021-65426739,
上海华氏大药房信谊岭南店,地址：上海市闸北区汾西路725号,电话：400-889-1700,
上海华氏大药房信谊永泰店,地址：上海市闸北区大统路838号,电话：400-889-1700,
上海华氏大药房信谊树新店,地址：上海市闸北区中兴路587号,电话：400-889-1700,
上海华氏大药房航华分店,地址：上海市闵行区航华二村三街坊110号,电话：021-64204516,
上海华氏大药房信谊劲峰店,地址：上海市闸北区平型关路341号,电话：400-889-1700,
上海华氏大药房信谊永庆店,地址：上海市闸北区场中路3420号,电话：400-889-1700,
上海华氏大药房信谊市北店,地址：上海市闸北区开封路234号,电话：400-889-1700,
上海华氏大药房新特药商店,地址：上海市虹口区四川北路1286-1288号,电话：400-889-1700,
上海华氏大药房信谊国货店,地址：上海市黄浦区国货路158号,电话：400-889-1700,
上海华氏大药房信谊延新店,地址：上海市闸北区共和新路2303号,电话：400-889-1700,
上海华氏大药房信谊上川店,地址：上海市浦东新区上川路1706号,电话：400-889-1700,
上海华氏大药房高行分店,地址：上海市浦东新区高行镇万安路13号,电话：400-889-1700,
上海华氏大药房信谊桂林店,地址：上海市徐汇区桂林路402号,电话：400-889-1700,
上海华氏大药房信谊三泰店,地址：上海市闸北区谈家桥路167号,电话：400-889-1700,
上海华氏大药房金山药房,地址：上海市金山区石化街道象州路127号,电话：400-889-1700,
上海华氏大药房信谊阜丰店,地址：上海市闸北区闻喜路925号,电话：400-889-1700,
上海华氏大药房信谊阜东店,地址：上海市闸北区临汾路561号,电话：400-889-1700,
上海华氏大药房甘泉店,地址：上海市普陀区平利路185号,电话：400-889-1700,
上海华氏大药房成都北路店,地址：上海市静安区成都北路288号(成都北路大沽路),电话：400-889-1700,
上海华氏大药房场中分店,地址：上海市闸北区场中路1179号,电话：021-66834761,
上海华氏大药房真华路药房,地址：上海市宝山区大华路518号霓虹儿童广场内(近大华二路),电话：021-66355170,
上海华氏大药房汇成分店,地址：上海市徐汇区百色路1111号,电话：400-889-1700,
上海华氏大药房东余杭路店,地址：上海市虹口区东余杭路1352号-1364号,电话：021-65859100,
上海华氏大药房大学路药房,地址：上海市杨浦区大学路179号(大学路锦创路),电话：400-889-1700,
上海华氏大药房沪太分店,地址：上海市闸北区沪太路1192号,电话：021-66346780,
上海华氏大药房南七马路店,地址：上海市黄浦区南七马路13号,电话：024-23501269,
上海华氏大药房保定分店,地址：上海市虹口区保定路266号,电话：021-65848605,
上海华氏大药房定海药店,地址：上海市杨浦区杨树浦路3021号,电话：021-65664834,
上海华氏大药房民跃大药房,地址：上海市浦东新区曹路镇民耀路227弄205室,电话：021-68721838,
上海华氏大药房巨峰路药房,地址：上海市浦东新区五莲路1728弄6号101室,电话：021-6871335,
上海华氏大药房峨眉路分店,地址：上海市虹口区峨嵋路315号(峨眉路余杭路),电话：400-889-1700,
上海华氏大药房玉兰药店,地址：上海市浦东新区花木镇玉兰路292号-294号底层,电话：021-68459615,
上海华氏大药房许昌路药店,地址：上海市杨浦区许昌路1485号-2,电话：021-65793078,
上海华氏大药房福日药房,地址：上海市杨浦区政肃路60号,电话：021-65653342,
上海华氏大药房全新店,地址：上海市闸北区辖区长临路423号底楼,电话：021-66248406,
上海华氏大药房浦东机场分店,地址：上海市浦东新区国际机场候机楼7号门,电话：021-68346734,
上海华氏大药房国定分店,地址：上海市杨浦区国定路314号(国定路政修路),电话：400-889-1700,
上海华氏大药房永春东路药房,地址：上海市南汇区大团镇永春东路18号,电话：021-68082370,
上海华氏大药房国和分店,地址：上海市杨浦区国和路1013号,电话：021-65747773,
上海华氏大药房吉成店,地址：上海市杨浦区隆昌路466号(河间路隆昌路),电话：400-889-1700,
上海华氏大药房莲花药房,地址：上海市杨浦区周家嘴路4295号C02-09,电话：021-65684516,
上海华氏大药房曲阳路药房,地址：上海市虹口区临平路133弄14号易买得广场B1楼(近飞虹路),电话：021-65521673,
上海华氏大药房千年健药店,地址：上海市杨浦区开鲁路314号,电话：021-65320019,
上海华氏大药房健华医药商店,地址：上海市杨浦区四平路2001号,电话：021-65499330,
上海华氏大药房安图药房,地址：上海市杨浦区延吉东路212号,电话：021-65303727,
上海华氏大药房杨浦店,地址：上海市杨浦区许昌路1600号(本溪路控江路),电话：021-65021919,
上海华氏大药房长岭店,地址：上海市杨浦区长岭路91号(长岭路抚顺路),电话：021-65152735,
上海华氏大药房公惠药房,地址：上海市虹口区东长治路866号,电话：021-65464905,
上海华氏大药房凉城路分店,地址：上海市虹口区凉城路214号(近广灵二路),电话：400-889-1700,
