云南鸿翔一心堂曲靖南门街店,地址：云南省曲靖市云南省曲靖市陆良县南门街162号,电话：0874-6220962,
云南鸿翔一心堂曲靖天晟花园店,地址：云南省曲靖市陆良天晟花园3区一层底商,电话：0874-6326810,
云南鸿翔一心堂曲靖中兴南路店,地址：云南省曲靖市陆良中兴南路8号,电话：0874-6220960,
云南鸿翔一心堂曲靖中枢镇中兴北路店,地址：云南省曲靖市陆良中枢镇中兴北路64号,电话：0874-6220957,
云南鸿翔一心堂腾冲光华东路店,地址：云南省保山腾冲县腾越镇光华东路满邑元吉村4号,电话：0875-5131870,
云南鸿翔一心堂腾冲三桥红星店,地址：云南省保山腾冲县观音塘社区红星小区10号,电话：0875-5139059,
云南鸿翔一心堂腾冲东方路宏盛店,地址：云南省保山腾冲县腾越镇火山社区宏盛小区7号,电话：0875-5165336,
云南鸿翔一心堂腾冲秀峰小区店,地址：云南省保山腾冲县腾越镇秀峰小区144号（腾冲菜市场旁）,电话：0875-5182098,
云南鸿翔一心堂昌宁右甸西路店,地址：云南省保山昌宁县田园镇右甸西路13-15号,电话：0875-7132016,
云南鸿翔一心堂昆明兴隆街店,地址：云南省玉溪市阳宗镇新街办事处兴隆街19号,电话：0877-6816499,
云南鸿翔一心堂楚雄团结路店,地址：云南省楚雄市团结路328号,电话：0878-3130148,
云南鸿翔一心堂北浦连锁店,地址：云南省楚雄市北浦路421-427号,电话：0878-3018118,
云南鸿翔一心堂楚雄鹿城镇连锁店,地址：云南省楚雄市鹿城镇环城西路115号,电话：0878-3131586,
云南鸿翔一心堂雄宝连锁店,地址：云南省楚雄市雄宝路460-464号,电话：0878-3016017,
云南鸿翔一心堂楚雄鹿城南路四店,地址：云南省楚雄市鹿城南路9号,电话：0878-3137048,
云南鸿翔一心堂楚雄团结店,地址：云南省楚雄市团结路89号,电话：0878-3013068,
云南鸿翔一心堂楚雄鹿城南路店,地址：云南省楚雄市鹿城南路农贸市场16-17号,电话：0878-3213908,
云南鸿翔一心堂楚雄东兴店,地址：云南省楚雄市东兴路51号,电话：0878-3010985,
云南鸿翔一心堂楚雄市环城西路店,地址：云南省楚雄市环城西路285号,电话：0878-3160901,
云南鸿翔一心堂楚雄中心连锁二店,地址：云南省楚雄市中大街125号,电话：0878-3122368,
云南鸿翔一心堂阳光丽景连锁店,地址：云南省楚雄市阳光丽景小区16栋2单元102#,电话：0878-3366371,
云南鸿翔一心堂楚雄花园农贸店,地址：云南省楚雄市黄泥坝综合农贸市场21-24号,电话：0878-3029278,
云南鸿翔一心堂永盛花园连锁店,地址：云南省楚雄市开发区太阳历大道永盛花园小区3栋104号商铺,电话：0878-3363983,
