北京同仁堂连锁药店有限责任公司北沙滩店,地址：北京市朝阳区双泉堡（松鹤服装厂）1幢,电话：010-64860426,
北京金禾堂医药有限公司马桥店,地址：北京市通州区马驹桥镇马会星座小区112号,电话：010-60503746,
北京天天好大药房有限公司白纸坊店,地址： 北京市宣武区白纸坊8号,电话：010-63515080,
北京国大药房连锁有限公司秀菊园连锁店,地址：北京市朝阳区北苑家园秀菊园11-2-101,电话：010-84967244,
北京睿达惠康大药房有限公司,地址：北京市朝阳区惠新里甲10号一层,电话：010-56297375,
北京国康人医药有限公司,地址：北京市东城区安定路20号院5号楼东方燕都底商1层,电话：010-56708869,
北京京卫元华医药科技有限公司,地址：北京市丰台区星火路9号京卫药业大厦,电话：无,
北京安贞润竹药店,地址：北京市朝阳区安贞里2区1号楼,电话：15010496133,
北京天通苑润竹药店第九分店,地址：北京市昌平区东小口镇天通苑小区东苑二区4号楼6单元101号,电话：无,
北京康利源药房有限公司,地址：北京市顺义区杨镇环城路7号,电话：无,
北京和瑞堂大药房第一分店,地址：北京市顺义区后沙峪镇铁匠营村铁兴西街1号,电话：无,
北京高井好药师药房,地址：北京市石景山区高井新村21号,电话：010-88955683,
北京岳各庄好药师大药房,地址：北京市丰台区岳各庄甲41号,电话：010-63813830,
北京瑞康好药师大药房,地址：北京市丰台区分钟寺四队133号,电话：010-87690429,
北京福瑞宏达大药房大屯店,地址：北京市朝阳区南沙滩66号院1号楼1层1-1-1,电话：无,
北京福瑞宏达大药房顺丰店,地址：北京市顺义区顺丰大街16号院1号楼1层101,电话：400-680-9890,
北京福瑞宏达大药房莲宝路店,地址：北京市海淀区莲宝路10号院1层-2,电话：400-680-9890,
北京福瑞宏达大药房安德里店,地址：北京市东城区安德里北街24号迤北2幢2-2,电话：400-680-9890,
北京福瑞宏达大药房良乡店,地址：北京市房山区良乡西潞北大街63号院1号楼-4门,电话：400-680-9890,
北京福瑞宏达大药房大郊亭店,地址：北京市朝阳区广渠路23号院5号楼1层5-5、5-6,电话：400-680-9890,
北京福瑞宏达大药房阎村店,地址：北京市房山区阎村镇百合路38号院5号楼1层101-C、101-D,电话：400-680-9890,
北京福瑞宏达大药房昌平店,地址：北京市昌平区昌平镇新新公寓7号楼1号商业,电话：400-680-9890,
北京福瑞宏达大药房中山店,地址：北京市通州区中山大街35号4号楼1层4-4,电话：400-680-9890,
北京福瑞宏达大药房广安门店,地址：北京市西城区广外大街305八区荣丰嘉园13号楼116、117、118A室,电话：400-680-9890,
北京福瑞宏达大药房老山店,地址：北京市石景山区老山东里临甲2号-9,电话：400-680-9890,
北京福瑞宏达大药房双槐树店,地址：北京市海淀区阜石路甲19号院7号楼102-2号,电话：400-680-9890,
北京兴事堂兴海大药房紫竹院药店,地址：北京市海淀区紫竹桥车道沟理工附中东门6号,电话：010-51289635,
北京东升天保堂金蝉路店,地址：北京市朝阳区金蝉欢乐园2号院甲1号楼地上一层,电话：010-67367284,
北京兴事堂大药房中心,地址：北京市海淀区清河嘉园东区4号楼104,电话：010-51289636,
北京天保堂医药有限公司安定门店,地址：北京市东城区安外西河沿17号楼底商超市发对面,电话：010-84136259,
北京养生堂药店有限公司西区店,地址：北京市海淀区中关村家乐福超市,电话：无,
好得快大药房方庄店,地址：北京市丰台区东铁营桥往北100米路东（方庄市场南50米）,电话：010-87613015,
