吉林省中东健康万家医药连锁有限公司开工店,地址：吉林省长春市朝阳区开运街开工胡同内，南街超市边,电话：0431-85943411,
吉林省中东健康万家医药连锁有限公司星宇小区店,地址：吉林省长春市绿园区皓月大路星宇小区启明园1号数,电话：无,
吉林省中东健康万家医药连锁有限公司青年路店,地址：吉林省长春市绿园区青年路1359号,电话：无,
吉林省中东健康万家医药连锁有限公司樱花苑店,地址：吉林省长春市二道区亚泰花园樱花苑第13栋1单元101号,电话：0431-84883723,
吉林省中东健康万家医药连锁有限公司福安街店,地址：吉林省长春市二道区亚泰樱花苑38、39栋下105号门市,电话：0431-84883646,
吉林省中东健康万家医药连锁有限公司净月大街店,地址：吉林省长春市净月大街与金屏街交汇南街超市内,电话：无,
吉林省中东健康万家医药连锁有限公司欧亚卖场店,地址：吉林省长春市开运街5178号 欧亚卖场10号门，生活超市入口处,电话：0431-85536772,
吉林省中东健康万家医药连锁有限公司新天地店,地址：吉林省长春市亚泰大街1138号，新天地购物公园负一层,电话：0431-88766507,
吉林省中东健康万家医药连锁有限公司湖西路店,地址：吉林省长春市中东七彩城负一层湖西路与泰来街交汇处,电话：0431-88715665,
吉林省中东健康万家医药连锁有限公司大市场店,地址：吉林省长春市经济开发区自由大路6738号,电话：0431-84631320,
吉林省中东健康万家医药连锁有限公司通化路店,地址：吉林省长春市南关区通化路37号,电话：0431-88918020,
长春同康药业连锁柳影家园店,地址：吉林省长春市宽城区柳影家园1期10栋10-1室,电话：0431-81619361,
长春同康药业连锁前进大街店,地址：吉林省长春市高新技术开发区筑业阳光二期商住2号,电话：0431-81619361,
长春同康药业连锁文化惠康店,地址：吉林省长春市宽城区利国街美印雅苑A区5栋102室,电话：0431-81619361,
长春同康药业连锁高新北区店,地址：吉林省长春市高新区雅苑西街,电话：0431-81619361,
长春同康药业连锁金恒店,地址：吉林省长春市经开区海口路7号,电话：0431-81619361,
长春同康药业连锁小南街店,地址：吉林省长春市宽城区小南街华大天朗国际B45-106号,电话：0431-81619361,
长春同康药业连锁凯旋路店,地址：吉林省长春市宽城区凯旋路36号,电话：0431-81619361,
长春同康药业连锁仁和堂店,地址：吉林省长春市高新区富强C区3单元108室,电话：0431-81619361,
长春同康药业连锁金钱路店,地址：吉林省长春市力旺康城,电话：0431-81619361,
长春同康药业连锁宽府路店,地址：吉林省长春市九台路以东吴中印象A区第13栋107号房,电话：0431-81619361,
长春同康药业连锁兆丰店,地址：吉林省长春市长江路北兴路以南、丙十路以东，兆丰凯旋明珠金街2栋111室,电话：0431-81619361,
长春同康药业连锁吉康大药房,地址：吉林省长春市净月经济开发区新园小区39栋102室,电话：0431-81619361,
长春同康药业连锁和顺街店,地址：吉林省长春市劳动公园北门,电话：0431-81619361,
长春同康药业连锁长新街店,地址：吉林省长春市包豪斯国际社区10-11栋1单元B111号,电话：0431-81619361,
长春同康药业连锁威海路店,地址：吉林省长春市经济开发区福林家园小区43栋104室,电话：0431-81619361,
长春同康药业连锁吉盛店,地址：吉林省长春市二道区吉盛小区二区2-35栋,电话：0431-81619361,
长春同康药业连锁美景天城店,地址：吉林省长春市宽城区富丰家园5栋118号,电话：0431-81619361,
长春同康药业连锁北湾新城店,地址：吉林省长春市高新开发区丙三十六路中天北湾新城16栋120门市,电话：0431-81619361,
长春同康药业连锁南航店,地址：吉林省长春市经开区南航世纪苑12栋116号,电话：0431-81619361,
长春同康药业连锁爱心药店,地址：吉林省长春市二道区阜丰嘉居小区11号楼,电话：0431-81619361,
长春同康药业连锁汇仁店,地址：吉林省长春市经开区临河风景北海路C3区S09号,电话：0431-81619361,
长春同康药业连锁文化富民店,地址：吉林省长春市远达大街59号富民花园15栋,电话：0431-81619361,
长春同康药业连锁泰和店,地址：吉林省长春市二道区远达大街1459号,电话：0431-81619361,
长春同康药业连锁文化店,地址：吉林省长春市二道区迁安路12号,电话：0431-81619361,
长春同康药业连锁康盛堂店,地址：吉林省长春市朝阳区卫明街738号,电话：0431-81619361,
长春同康药业连锁同济店,地址：吉林省长春市二道区经纬南路27号楼118室,电话：0431-81619361,
长春同康药业连锁乐山店,地址：吉林省长春市长春市朝阳区乐山镇街道22-4号,电话：0431-81619361,
长春同康药业连锁瑞康大药房,地址：吉林省长春市朝阳区义和路永昌综合市场,电话：0431-81619361,
长春同康药业连锁华洋店,地址：吉林省长春市朝阳区红旗街同德路5-2号,电话：0431-81619361,
长春同康药业连锁盈家店,地址：吉林省长春市绿园区新竹路盈家瑞景花园小区110号,电话：0431-81619361,
长春同康药业连锁济民店,地址：吉林省长春市城西镇杨家村虹桥花园红楼32楼110号,电话：0431-81619361,
长春同康药业连锁福安堂大药房,地址：吉林省长春市二道区经纬路与福安路交汇,电话：0431-81619361,
长春同康药业连锁儿童医院店,地址：吉林省长春市朝阳区北安小区111号,电话：0431-81619361,
长春同康药业连锁同泰店,地址：吉林省长春市绿园区同心路同泰花园6A103号,电话：0431-81619361,
长春同康药业连锁普济堂大药房,地址：吉林省长春市长春市绿园区宏阳街-21号,电话：0431-81619361,
长春同康药业连锁济鑫堂大药房,地址：吉林省长春市朝阳区开运街欧亚宜家小区,电话：0431-81619361,
长春同康药业连锁仁康大药房,地址：吉林省长春市景阳大路5号景阳小区1号门市房,电话：0431-81619361,
长春同康药业连锁康旗店,地址：吉林省长春市朝阳区清河街27号,电话：0431-81619361,
长春同康药业连锁天康大药房,地址：吉林省长春市弘海小区1栋1门101室外门市房,电话：0431-81619361,
长春同康药业连锁一健堂店,地址：吉林省长春市二道区吉盛小区1-36栋20号,电话：0431-81619361,
长春同康药业连锁民康店,地址：吉林省长春市绿园区春辉路93号,电话：0431-81619361,
长春同康药业连锁康郡分店,地址：吉林省长春市绿园区吉粮康郡50栋3单元109号,电话：0431-81619361,
长春同康药业连锁卓展店,地址：吉林省长春市朝阳区重庆路1255号,电话：0431-81619361,
长春同康药业连锁义仁堂店,地址：吉林省长春市绿园区春城大街52号,电话：0431-81619361,
长春同康药业连锁华强店,地址：吉林省长春市绿园区正阳街31号,电话：0431-81619361,
长春同康药业连锁一汽恒康店,地址：吉林省长春市绿园区创业大街越野路1号,电话：0431-81619361,
长春同康药业连锁润泽堂分店,地址：吉林省长春市绿园区翔运街74号,电话：0431-81619361,
长春同康药业连锁铭泽堂大药房,地址：吉林省长春市绿园区城西镇跃进村马忠屯,电话：0431-81619361,
长春同康药业连锁雁鸣湖分店,地址：吉林省长春市雁鸣湖以东，西环城路以西中东首座29幢5单元110号,电话：0431-81619361,
长春同康药业连锁东岭北街店,地址：吉林省长春市南关区东岭北街和自由大路,电话：0431-81619361,
长春同康药业连锁乐亭街店,地址：吉林省长春市南关区亚泰大街中环11区7座,电话：0431-81619361,
长春同康药业连锁鸿盛店,地址：吉林省长春市南关区曙光路20号,电话：0431-81619361,
长春同康药业连锁一健堂桃源大药房,地址：吉林省长春市南关区桃源春晓小区11栋101号,电话：0431-81619361,
长春同康药业连锁一健堂平阳店,地址：吉林省长春市南关区平阳街与通化路交会处,电话：0431-81619361,
长春同康药业连锁万寿堂店,地址：吉林省长春市南关区平泉路24号,电话：0431-81619361,
