四川好仁堂惠民药店 ,地址：四川省攀枝花市米易县桥东街45,电话：0812-8175469,
祥力康药业连锁经开区鸿仁店,地址：四川省绵阳市经开区塘汛镇洪恩村二社,电话：0816-2369895,
祥力康药业连锁经开区永兴店,地址：四川省绵阳市涪城区文跃西路60号附193号,电话：0816-2369895,
祥力康药业连锁经开区茂祥店,地址：四川省绵阳市经开区文跃西路59号附2号,电话：0816-2369895,
祥力康药业连锁5店,地址：四川省绵阳市科创园区上马新村北街,电话：0816-2369895,
祥力康药业连锁高新区奎林店,地址：四川省绵阳市高新区凝祥寺居委会5组,电话：0816-2369895,
祥力康药业连锁经开区晶蓝湖店,地址：四川省绵阳市经开区晶蓝湖商业街,电话：0816-2369895,
祥力康药业连锁科创园惠民店,地址：四川省绵阳市科创园上马南街48号1幢3号,电话：0816-2369895,
祥力康药业连锁高新区王波店,地址：四川省绵阳市高新区永兴镇前进街13号,电话：0816-2369895,
祥力康药业连锁经开区彩云店,地址：四川省绵阳市经开区南湖街326号附121号,电话：0816-2369895,
祥力康药业连锁科创园区云霞店,地址：四川省绵阳市科创园区八角居民点二小区,电话：0816-2369895,
祥力康药业连锁高新区祥和药店,地址：四川省绵阳市高新区绵兴路中段298号,电话：0816-2369895,
祥力康药业连锁邓舒店,地址：四川省绵阳市仙海区沉抗镇八角庙村6社,电话：0816-2369895,
祥力康药业连锁经开区永信店,地址：四川省绵阳市经开区塘汛镇群丰街80号,电话：0816-2369895,
祥力康药业连锁科创园区何伟店,地址：四川省绵阳市科创园区上马新村北街26号7栋2号,电话：0816-2369895,
祥力康药业连锁2店,地址：四川省绵阳市游仙区松垭镇涪松街,电话：0816-2369895,
祥力康药业连锁经开区健朋店,地址：四川省绵阳市经开区塘汛镇友谊村六社群文街,电话：0816-2369895,
祥力康药业连锁振华药店,地址：四川省绵阳市高新区,电话：0816-2369895,
祥力康药业连锁高新区靖康店,地址：四川省绵阳市高新区双碑六社,电话：0816-2369895,
祥力康药业连锁农科区方忠店,地址：四川省绵阳市农科区正兴街48号,电话：0816-2369895,
祥力康药业连锁经开区潇雨店,地址：四川省绵阳市经开区文武村城南综合市场,电话：0816-2369895,
祥力康药业连锁高新区唐时洪店,地址：四川省绵阳市高新区永兴镇华裕路北段,电话：0816-2369895,
祥力康药业连锁高新区骏杰店,地址：四川省绵阳市高新区普明寺社区六组67号,电话：0816-2369895,
祥力康药业连锁农科区文斌店,地址：四川省绵阳市农科区文化街71号,电话：0816-2369895,
祥力康药业连锁益健店,地址：四川省绵阳市经开区南区花园2区191号,电话：0816-2369895,
祥力康药业连锁高新区汇名店,地址：四川省绵阳市高新区永兴镇永顺路27号-1,电话：0816-2369895,
祥力康药业连锁经开区康鑫店,地址：四川省绵阳市经开区塘汛镇金广村七组久久佳园北50米,电话：0816-2369895,
祥力康药业连锁鑫森药店,地址：四川省绵阳市高新区永兴镇前进街23号,电话：0816-2369895,
祥力康药业连锁高新区彭富贵药店,地址：四川省绵阳市高新区永兴镇兴业南路12号B幢1号,电话：0816-2369895,
祥力康药业连锁高新区黄杰店,地址：四川省绵阳市高新区科发市场B区15-18号门面,电话：0816-2369895,
祥力康药业连锁高新区同康店,地址：四川省绵阳市高新区三河堰居委会6组158号,电话：0816-2369895,
祥力康药业连锁高新区洪华店,地址：四川省绵阳市高新区永兴镇永顺路83号,电话：0816-2369895,
祥力康药业连锁高新区工地店,地址：四川省绵阳市高新区永兴镇永发路163号,电话：0816-2369895,
祥力康药业连锁高新区万和店,地址：四川省绵阳市高新区永兴工业开发区龙家碾社区,电话：0816-2369895,
祥力康药业连锁38店,地址：四川省绵阳市北川县白坭乡街道,电话：0816-2369895,
祥力康药业连锁高新区瑞银店,地址：四川省绵阳市高新区永兴镇永昌路36号附14号,电话：0816-2369895,
祥力康药业连锁北川县晓成店,地址：四川省绵阳市北川县擂鼓镇中街35号,电话：0816-2369895,
祥力康药业连锁北川永昌镇长兴店,地址：四川省绵阳市北川新县城尔玛小区167号门牌号廻龙街32号,电话：0816-2369895,
祥力康药业连锁高新区万心店,地址：四川省绵阳市高新区普明北路东段702号门面,电话：0816-2369895,
祥力康药业连锁北川县坝底和顺店,地址：四川省绵阳市北川县坝底乡顺和街,电话：0816-2369895,
祥力康药业连锁梓潼县益贵药店,地址：四川省绵阳市梓潼县石牛镇迎宾路3号,电话：0816-2369895,
祥力康药业连锁高新区雷发茂店,地址：四川省绵阳市高新区永兴镇永安路17号,电话：0816-2369895,
祥力康药业连锁安县鹏安店,地址：四川省绵阳市安县安昌镇县委兴街东段,电话：0816-2369895,
祥力康药业连锁安县世兴店,地址：四川省绵阳市北川县安昌镇竹林寺下街95-1号,电话：0816-2369895,
