宣城市言午氏药店桃州路店,地址：安徽省宣城市广德县桃州镇桃州南路东B1-2号,电话：0563-6026508,
宣城市言午氏药店团结店,地址：安徽省宣城市广德县桃州镇横山中路A1--10号,电话：0563-6015918,
宣城市言午氏药店广德台客隆店,地址：安徽省宣城市广德县桃州路20号台客隆超市内,电话：0563-6038883,
宣城市言午氏药店鸿福店,地址：安徽省宣城市宣州区梅溪路东方润园1、2幢1-1号,电话：0563-2020138,
宣城市言午氏药店康林一店,地址：安徽省宣城市宣州区向阳路以南贝林.阳江港湾7幢2室,电话：0563-3959366,
宣城市言午氏药店中山路店,地址：安徽省宣城市宣州区中山路北侧观塘小区7幢9-10室,电话：0563-2827055,
宣城市言午氏药店南门店,地址：安徽省宣城市区晏公桥小区2幢7号,电话：0563-3017277,
宣城市言午氏药店府山店,地址：安徽省宣城市区府山广场台客隆超市内,电话：0563-2831630,
宣城市言午氏药店广德万象店,地址：安徽省宣城市广德县桃州镇桃州南路东侧茗桂小区E区4号楼7.8.9号营业房,电话：0563-6966661,
宣城市言午氏药店统华店,地址：安徽省宣城市宣州区叠嶂西路12号负一层,电话：0563-2512601,
宣城市言午氏药店西林社区店,地址：安徽省宣城市区西林小区1栋2-3号,电话：0563-3018900,
宣城市言午氏药店国泰店,地址：安徽省宣城市区青年路西工行商住楼9号,电话：0563-2830123,
宣城市言午氏药店安宁店,地址：安徽省宣城市区中山路状元北路叉口,电话：0563-3030719,
宣城市言午氏药店元宝街二店,地址：安徽省宣城市区元宝新村9幢101室,电话：0563-3010050,
宣城市言午氏药店中诚店,地址：安徽省宣城市宣州区锦城花园D-1-4和D-1-5门面房,电话：0563-2826500,
宣城市言午氏药店东门店,地址：安徽省宣城市区叠嶂东路21-22号,电话：0563-2822161,
宣城市言午氏药店双桥店,地址：安徽省宣城市宣州区双桥办事处街道双桥农村商业银行隔壁,电话：0563-3366256,
淮南市威康大药房陈庄店,地址：安徽省淮南市田家庵区江陈社区小陈庄,电话：0554-6668006,
淮南市威康大药房同济店,地址：安徽省淮南市潘集区长江中路南侧如意综合楼一层,电话：0554-4982188,
淮南市威康大药房信谊店,地址：安徽省淮南市田家庵区信谊四季城4号楼105号,电话：0554-6916588,
淮南市威康大药房现代花园店,地址：安徽省淮南市潘集区田集街道现代花园小区2栋101,102.,电话：0554-4976608,
淮南市威康大药房洞泉店,地址：安徽省淮南市田家庵区会战路清水湾19#101号,电话：0554-6685006,
淮南市威康大药房田集店,地址：安徽省淮南市潘集区田集乡田集村田集街东侧,电话：0554-4974188,
淮南市威康大药房河新城店,地址：安徽省淮南市田家庵区淮河新城S4楼109号,电话：0554-6916288,
淮南市威康大药房泥河店,地址：安徽省淮南市潘集区泥河镇车站南100米,电话：0554-4713013,
淮南市威康大药房宾馆路店,地址：安徽省淮南市田家庵区宾馆路37号,电话：0554-7625581,
淮南市威康大药房芦集店,地址：安徽省淮南市潘集区潘三矿矿南桥头50米,电话：0554-4336505,
淮南市威康大药房贺疃店,地址：安徽省淮南市潘集区贺疃乡贺疃村陇海路南侧,电话：0554-4215116,
淮南市威康大药房潘北新村店,地址：安徽省淮南市潘集区潘集镇潘北新村,电话：0554-4837608,
淮南市威康大药房架河店,地址：安徽省淮南市潘集区架河乡街道,电话：0554-4264228,
淮南市威康大药房长江东路店,地址：安徽省淮南市潘集区长江东路142号,电话：0554-4984188,
淮南市威康大药房九华山店,地址：安徽省淮南市潘集区九华山路111号,电话：0554-7631666,
淮南市威康大药房袁庄店,地址：安徽省淮南市潘集区长江路252号,电话：0554-4979966,
淮南市威康大药房舜耕店,地址：安徽省淮南市田家庵区人民南路舜耕新村03网点11-12号,电话：0554-2608288,
淮南市威康大药房洞山店,地址：安徽省淮南市田家庵区宾馆路77号,电话：0554-6657288,
安徽好心人药房十二里庙分店,地址：安徽省阜阳市颍州区王店镇十二里庙街南头,电话：无,
安徽好心人药房颍州区三塔镇分店,地址：安徽省阜阳市颍州区三塔镇南阳大道西侧,电话：无,
安徽好心人药房华佗金象分店,地址：安徽省阜阳市颍州区西湖镇华佗村华西,电话：无,
安徽好心人药房华佗华康分店,地址：安徽省阜阳市阜南县张寨华佗集9号,电话：无,
安徽好心人药房临泉县陈集镇分店,地址：安徽省阜阳市临泉县陈集街西段路南,电话：无,
安徽好心人药房颍泉区伍明镇分店,地址：安徽省阜阳市颍泉区伍明镇集南队114号,电话：无,
安徽好心人药房颍州区洄溜集分店,地址：安徽省阜阳市颍州区三十里铺洄溜集南头,电话：无,
安徽好心人药房乌江镇分店,地址：安徽省阜阳市颖东区乌江乡乌江村南大街,电话：无,
安徽好心人药房临泉县杨桥镇分店,地址：安徽省阜阳市临泉县杨桥镇老街行政村24号,电话：无,
安徽好心人药房十八里铺分店,地址：安徽省阜阳市经济开发区十八里铺街2号,电话：无,
安徽好心人药房老庙中心分店,地址：安徽省阜阳市颖东区老庙镇,电话：无,
安徽好心人药房三十里铺分店,地址：安徽省阜阳市颍州区三十里铺镇政府东100米路南,电话：无,
安徽好心人药房枣庄尹浩分店,地址：安徽省阜阳市颖东区枣庄集人民路66号,电话：无,
安徽好心人药房正午镇中心街分店,地址：安徽省阜阳市颖东区正午镇正午居委会中心街6号,电话：无,
安徽好心人药房阜阳市同泰分店,地址：安徽省阜阳市颍州区文峰东路366号,电话：无,
安徽好心人药房阜阳市三门集分店,地址：安徽省阜阳市颍泉区伍明镇三门街27号,电话：无,
安徽好心人药房阜阳市开发区分店,地址：安徽省阜阳市开发区商业街346M16商住楼001幢0105号,电话：0558-3683388,
安徽好心人药房阜阳市阜口路分店,地址：安徽省阜阳市颖东区袁寨镇临颍村蒋庄,电话：无,
安徽好心人药房黄庄社区分店,地址：安徽省阜阳市开发区经二路南段黄庄社区,电话：无,
安徽好心人药房冉庙马玉良分店,地址：安徽省阜阳市颖东区冉庙乡中心街东段乡政府对面,电话：无,
安徽好心人药房阜阳市王店镇分店,地址：安徽省阜阳市颍州区王店镇桃园路卫生院对面,电话：0558-3593388,
安徽好心人药房袁寨胡保健分店,地址：安徽省阜阳市袁寨中华街,电话：无,
安徽好心人药房零售连锁有限公司,地址：安徽省阜阳市陈周路铁路西18号,电话：0558-2213388,
马鞍山市川洋大药房连锁有限公司姑孰新城店,地址：安徽省马鞍山市当涂县城关镇姑孰路姑孰新城88#、89#,电话：0555-6742030,
马鞍山市川洋大药房连锁有限公司红旗中路店,地址：安徽省马鞍山市雨山区红旗中路平湖街道八村17栋底商,电话：0555-2620603,
马鞍山市川洋大药房连锁有限公司博洋店,地址：安徽省马鞍山市博望区博望镇紫金佳苑3栋103室,电话：0555-6768556,
马鞍山市川洋大药房连锁有限公司丹农店,地址：安徽省马鞍山市当涂县丹阳镇河东路43号,电话：0555-6918965,
