晋城杏泽药品零售陵川百姓药店,地址：山西省晋城市陵川县崇文镇南关村,电话：无,
山西荣华大药房连锁有限公司上马街二店,地址：山西省太原市上马街2号,电话：无,
长城医药春怡南部,地址：山西省太原市杏花岭区中涧河春怡南小区小二楼,电话：无,
长城医药大同市东关店,地址：山西省大同市万寿路西侧,电话：0352-3100101,
长城医药大同市西街店,地址：山西省大同市大西街５号楼 ,电话：0352- 6083549 ,
长城医药小店学府街部,地址：山西省太原市小店区学府街33号西一间,电话：无,
长城医药大同市柳港园店,地址：山西省大同市南环路与柳泉南街交叉口,电话：0352-5012401,
长城医药小店康宁街部,地址：山西省太原市小店区康宁街中段,电话：无,
长城医药大同市东信店,地址：山西省大同市魏都大道59号附近,电话：0352-6032141,
长城医药南内环部,地址：山西省太原市迎泽区南内环135号一层,电话：0531-2148192,
长城医药王府花园部,地址：山西省太原市小店区长治路王府花园B座一层,电话：无,
长城医药大同长城药店二部,地址：山西省大同市同泉西路附近,电话：0352-6083574,
长城医药忻州市原平市体育南路店,地址：山西省忻州市原平市其他体育南路627-1159号,电话：0350-8232810,
长城医药大同连锁一店,地址：山西省大同市城区迎宾街51-53号,电话：0352-6035541,
长城医药忻州市原平市永康路部,地址：山西省忻州市原平市永康北路,电话：0350-8300104,
长城医药大同长城药店一部,地址：山西省大同市泰昌里附近,电话：无,
长城医药忻州市原平一部,地址：山西省忻州市原平市新原乡京原南路2148-2492号(东大购物西),电话：0350-8322014,
长城医药寿阳益康部,地址：山西省晋中市寿阳县九龙路附近,电话：0354-3544141,
长城医药大同市新荣区店,地址：山西省大同市新荣区长城西街9号 ,电话：0352-6020104,
长城医药临汾侯马部,地址：山西省临汾市侯马市浍滨街-文明路铁一处北侧,电话：0357-4081117,
长城医药临汾霍州东大街部,地址：山西省临汾市霍州鼓楼东街151号(霍州东大街部),电话：0357-5613896,
长城医药临汾市洪洞县,地址：山西省临汾市洪洞县飞虹西大街,电话：0357-6235311,
长城医药孝义四部,地址：山西省吕梁市孝义市府前街250,电话：0358-3526625,
长城医药晋中市汇隆店10部,地址：山西省晋中市花园路230号,电话：0354-3010254,
长城医药孝义府前街店,地址：山西省吕梁市孝义市清风国美对面,电话：0358-3036689,
长城医药晋中市经纬2部,地址：山西省晋中市榆次区经纬厂二生活区,电话：0354-3021145,
长城医药晋中市经纬店,地址：山西省晋中市纬四路和经四路的交叉口附近,电话：0354-3230402,
长城医药孝义一部,地址：山西省吕梁市孝义市新义街287号(孝义一部),电话：无,
长城医药晋中市榆次区新华店,地址：山西省晋中市榆次区新华东街,电话：0354-3036689,
长城医药晋中市菜园部,地址：山西省晋中市菜园西街附近,电话：0354-2454787,
长城医药海子边部,地址：山西省太原市迎泽区海子边儿童公园北门西侧,电话：无,
长城医药孝义二部,地址：山西省吕梁市孝义市建设街257号,电话：0358-3021001,
长城医药晋中市榆次区顺城西街店,地址：山西省晋中市榆次区东顺城街猫儿岭,电话：0354-2014474,
长城医药晋中玉湖店,地址：山西省晋中市文苑街附近,电话：0354-3457714,
长城医药郝家沟部,地址：山西省太原市迎泽区郝家沟街与东中环西南角,电话：无,
长城医药大马部,地址：山西省太原市小店区大马村东三排一号,电话：0351-7836652,
长城医药晋中市阳光花园店,地址：山西省晋中市顺城街府兴路阳光花园门面房长城药店旁,电话：0354-2088346,
长城医药晋中市榆次区猫儿岭店,地址：山西省晋中市榆次区顺城东街60,电话：0354-2310014,
长城医药榆次一部,地址：山西省晋中市榆次区粮店街39号,电话：0354-3547747,
长城医药后王部,地址：山西省太原市万柏林区后王南街三益东苑门面房,电话：0351-2346157,
长城医药殷家堡部,地址：山西省太原市小店区高新殷家堡大街南排43号,电话：0351-7438128,
长城医药晋中市迎宾店15部,地址：山西省晋中市迎宾街与中都路交叉口,电话：0354-2366001,
长城医药晋中市榆次区汇隆店,地址：山西省晋中市榆次区花园路230号,电话：0354-2300104,
长城医药榆次龙湖店,地址：山西省晋中市榆次区沈阳路,电话：0354-3526686,
长城医药西客站部,地址：山西省太原市万柏林区西客站进站楼北侧,电话：0351-6561534,
长城医药解南部,地址：山西省太原市迎泽区解放南路148号方圆大厦B座1层,电话：0351-4166348,
长城医药晋中市大众分店,地址：山西省晋中市灵石县滨河北路,电话：0354-3021445,
长城医药晋中市安宁街店,地址：山西省晋中市榆次区安宁大街223号,电话：0354-2447115,
长城医药晋中长城药店,地址：山西省晋中市汇通路338号,电话：0354-3230402,
长城医药长治路部,地址：山西省太原市小店区长治路与王村专街十字路口往北30米路西,电话：0351-7225179,
长城医药大众部,地址：山西省太原市万柏林区和平南路81号一层,电话：0351-6522667,
长城医药晋中市西顺城二店17部,地址：山西省晋中市榆次区顺城西街,电话：0354-3014101,
长城医药晋中市榆次区蕴华店,地址：山西省晋中市榆次区蕴华街438号,电话：0354-3586641,
长城医药北张二部,地址：山西省太原市小店区北张小区斜对面意尔康巷口往里10米,电话：0351-8781228,
长城医药亲贤部,地址：山西省太原市小店区亲贤北街59号商铺04号,电话：无,
长城医药赵庄部,地址：山西省太原市尖草坪区大同路213号赵庄小区29号楼,电话：0351-3550969,
长城医药晋中市使赵店,地址：山西省晋中市榆次区使赵街250,电话：0354-2100135,
长城医药晋中榆次区安宁新村店,地址：山西省晋中市榆次区新建北路485号附近,电话：0354-3988774,
长城医药解南二部,地址：山西省太原市迎泽去解放南路54号北起第一间,电话：0351-2346151,
长城医药大医院部,地址：山西省太原市小店区平阳南路小马村山西大医院西侧,电话：0351-7837826,
长城医药白桦苑部,地址：山西省太原市杏花岭区裕丰惠泽苑小区9号楼10号商铺,电话：无,
长城医药晋中市顺城街店,地址：山西省晋中市顺城街6号阳光写字楼,电话：0354-2474125,
长城医药南十方部,地址：山西省太原市迎泽区建设南路（南十方）380号,电话：无,
长城医药学府街部,地址：山西省太原市小店区学府街坞城路口西北角,电话：0351-7433798,
长城医药上兰村部,地址：山西省太原市尖草坪区上兰村炭市街49号,电话：0351-3923757,
长城医药并东部,地址：山西省太原市并州东街95号山西艺术职业学院东侧门面,电话：无,
长城医药义井部,地址：山西省太原市晋源区义井化工医院对面,电话：0351-6071663,
长城医药胜利街部,地址：山西省太原市杏花岭区胜利街14号金海湾商务会所西侧一层门面房,电话：0351-3576318,
长城医药南肖墙部,地址：山西省太原市杏花岭区南肖墙48号,电话：无,
长城医药闫家沟部,地址：山西省太原市万柏林区闫家沟社区18号,电话：0351-6821733,
长城医药天龙部,地址：山西省太原市迎泽区迎泽大街291号天龙大厦一层东门口,电话：0351-2148192,
长城医药北河湾部,地址：山西省太原市杏花岭区北河湾东街1-1号金林佳园小区底商,电话：0351-2346153,
长城医药文源巷部,地址：山西省太原市迎泽区文源巷35号东侧,电话：0351-4129785,
长城医药恒山路部,地址：山西省太原市尖草坪区恒山路14宿舍10楼底商,电话：0351-3162716,
长城医药公园路部,地址：山西省太原市万柏林区西矿街35号柏林宾馆地下室,电话：无,
长城医药体育路部,地址：山西省太原市小店区体育路11号1幢商铺7号,电话：无,
长城医药国师街部,地址：山西省太原市杏花岭区国师街21号底商4号,电话：无,
长城医药北大街部,地址：山西省太原市杏花岭区北大街48号金牛公寓底商,电话：0351-3086651,
长城医药南中环三部,地址：山西省太原市小店区南中环街殷堡西北角,电话：0351-2830589,
长城医药长风小区部,地址：山西省太原市小店区长风公寓34号楼东南侧商用房,电话：0351-2346152,
长城医药白龙庙部,地址：山西省太原市杏花岭区白龙庙红沟路临街零号楼一层底商,电话：0351-4426845,
长城医药五龙口二部,地址：山西省太原市杏花岭区五龙口街路北昌源胜景一层底商,电话：0351-4646266,
长城医药南中环二部,地址：山西省太原市小店区北张村西街63号,电话：无,
长城医药长风部,地址：山西省太原市小店区体育西路339号楼东侧北面第六间,电话：0351-8783583,
长城医药凯旋部,地址：山西省太原市杏花岭区职工新街15号,电话：0351-4651387,
长城医药公平南路部,地址：山西省太原市晋源区和平南路498号,电话：无,
长城医药五龙口部,地址：山西省太原市迎泽区五龙口街82号门面房,电话：无,
长城医药大都会部,地址：山西省太原市南外环200号罗马花苑10幢1层,电话：0351-7436671,
长城医药狄村部,地址：山西省太原市小店区狄村街20号,电话：0351-7189929,
长城医药水西关部,地址：山西省太原市迎泽区水西关街10号,电话：0351-2346150,
长城医药千峰北路部,地址：山西省太原市万柏林区瓦窑村北国名宅一单元一层,电话：0351-6591030,
长城医药晋机部,地址：山西省太原市尖草坪区小东流丰盛西区一排一号,电话：0351-6991330,
