大参林医药集团股份有限公司太平店,地址：广东省湛江市麻章区太平镇供销街11号 ,电话：0759-2866168 ,
深圳润泽堂药业回龙埔店,地址：广东省深圳市龙岗区中心城回龙埔上角环新村2巷2号,电话：无,
一德堂美芝林分店,地址：广东省深圳市龙岗区龙岗街道同乐社区新布市场路12号107.108,电话：无,
一德堂新都分店,地址：广东省深圳市龙岗区龙岗街道新生社区仙人岭路81号101,电话：无,
一德堂南联新市场分店,地址：广东省深圳市龙岗区龙岗街道南联社区龙园路47－7号101,电话：无,
养和医药丽江分店,地址：广东省广州市番禺区大石镇丽江花园商业街(丽荃楼)商铺8,电话：020-34708433,
一德堂龙窝分店,地址：广东省深圳市龙岗区坑梓街道龙田社区大水湾村龙湾市场C栋A1-011,电话：无,
养和医药泰分店,地址：广东省广州市广州市天河区元岗路,电话：020-34470128,
一德堂新布分店,地址：广东省深圳市龙岗区龙岗街道同乐社区新布路50号之二101,电话：无,
养和医药光大花园分店,地址：广东省广州市海珠区光大花园商业街(榕景路)50号首层,电话：020-84155533,
一德堂新四联分店,地址：广东省深圳市龙岗区横岗街道四联社区新贤街9-1号B栋101,电话：无,
养和医药南景街店,地址：广东省广州市海珠区江燕路南景园南景街79号,电话：020-89018667,
一德堂爱群分店,地址：广东省深圳市龙岗区龙城街道新联社区军田路83号一楼,电话：无,
养和医药江南翠菊园东南,地址：广东省广州市海珠区江南大道中路紫来大街20号(江南翠菊园东南),电话：020-34663463,
养和医药西丽分店,地址：广东省广州市番禺区市桥街西丽中路70、72号,电话：020-34805727,
养和医药泽德花苑分店,地址：广东省广州市白云区泽德路南四街2、4、6号首层01铺,电话：020-86173661,
养和医药华景路店,地址：广东省广州市天河区华景路83号,电话：020-85567724,
一德堂龙腾分店,地址：广东省深圳市龙岗区龙城街道爱联社区德馨楼C座商铺B,电话：0755-89567781,
养和医药光明南分店,地址：广东省广州市番禺区市桥街光明南路59号首层,电话：020-84839776,
广州养和锦绣分店,地址：广东省广州市番禺钟村锦绣生态园西区商业街11号（农村信用社旁）,电话：020-34633763,
养和医药怡港花园店,地址：广东省广州市黄埔区丰乐南路369号怡港花园后门商业街,电话：020-82594230,
一德堂南约分店,地址：广东省深圳市龙岗区龙岗街道办南约水背龙村,电话：0755-89363959,
养和医药瑜翠园分店,地址：广东省广州市天河区荟龙路101,102房,电话：020-38070380,
养和医药华侨城分店,地址：广东省广州市番禺区市桥街西丽南路256号,电话：020-31104738,
养和医药环城中路分店,地址：广东省广州市番禺区市桥街环城中路新城西片二座7号首层,电话：020-84830765,
养和医药帝景分店,地址：广东省广州市海珠区珠江帝景商业街首层809号,电话：020-61298554,
