玉林民众药业中诺大药房,地址：广西省玉林市福绵区福西大韦塘唐厚寅商铺,电话：无,
玉林民众药业发寿堂药店,地址：广西省玉林市玉州区龙船里东明商行（好声音商厦一楼A1-16商铺）,电话：无,
玉林民众药业福绵大药房,地址：广西省玉林市福绵开发区东福路南侧肖友勤商铺,电话：无,
玉林民众药业道安药店,地址：广西省玉林市成均镇成均圩大塘垌D8-8号,电话：无,
玉林民众药业茂林车垌药店,地址：广西省玉林市茂林镇车垌村村委会对面陈海荣商铺,电话：无,
玉林民众药业名山村药店,地址：广西省玉林市名山街道名山社区石塘坡３－１号（原名山镇名山村３社）,电话：无,
玉林民众药业锦康药店,地址：广西省玉林市名山街道和睦村六社朱绍全一楼商铺,电话：无,
玉林民众药业纳康药店,地址：广西省玉林市玉州区城北街道谷山村17社王业兴商铺,电话：无,
玉林民众药业子顺药店,地址：广西省玉林市福绵管理区樟木镇樟木村镇前路30号,电话：0775-2278258,
玉林民众药业南门药店,地址：广西省玉林市玉州区仁厚镇荔枝村南门公路旁吴贵英商铺,电话：无,
玉林民众药业东校药店,地址：广西省玉林市教育中路３２１号,电话：无,
玉林民众药业奔林药店,地址：广西省玉林市仁东卫生院后侧（玉石公路旁）张秀春商铺,电话：无,
玉林民众药业旺卢村药店,地址：广西省玉林市玉州区仁东镇旺卢村硬化道路旁陈献礼商铺,电话：无,
玉林民众药业大安药店,地址：广西省玉林市城站路１２０号,电话：0775-3128320,
玉林民众药业利济堂药店,地址：广西省玉林市名山开发区统田里78号,电话：0775-2679148,
玉林民众药业东郊药店,地址：广西省玉林市广场东路１６９号（原名山镇名山村１９五里圳）,电话：无,
玉林民众药业仁厚大药房,地址：广西省玉林市玉州区仁厚镇国土资源管理所乡镇至玉石路方向第一间临街商铺,电话：无,
玉林民众药业千年健药店,地址：广西省玉林市城站路城南市场第6间,电话：无,
玉林民众药业承裕药店,地址：广西省玉林市中秀路157-7号,电话：0775-3126485,
玉林民众药业柏子仁药店,地址：广西省玉林市清宁路９0号,电话：0775-3130620,
玉林民众药业康德灵药店,地址：广西省玉林市福绵管理区成均镇成均开发区宁绍华商铺,电话：无,
玉林民众药业真心药店,地址：广西省玉林市市政路橡胶厂宿舍1-7号,电话：无,
玉林民众药业来康药店,地址：广西省玉林市玉州区清宁路３１０号,电话：0775-2089912,
玉林民众药业安东药店,地址：广西省玉林市人民东路玉林高中门口蚕种场租铺人民东路北侧,电话：无,
玉林民众药业融聪药店,地址：广西省玉林市大北路３１３号,电话：0775-8965227,
玉林民众药业胜利花园药店,地址：广西省玉林市胜利花园1区1栋1号商铺,电话：无,
玉林民众药业安民药店,地址：广西省玉林市玉州区城北镇松城圩玉桂公路旁庞锦枢出租屋,电话：0775-2360236,
玉林民众药业龙船药店,地址：广西省玉林市人民中路349号,电话：0775-2892001,
玉林民众药业新桥秀美药店,地址：广西省玉林市福绵区新桥农村信用社铺面,电话：无,
玉林民众药业康滋堂药店,地址：广西省玉林市良江街４９号银泽庄１幢８号铺面,电话：无,
玉林民众药业秋荣药店,地址：广西省玉林市茂林镇茂林圩桥头丘秋荣商铺,电话：无,
玉林民众药业樟木便民药店,地址：广西省玉林市福绵管理区樟木镇樟木开发区九幢５号,电话：0775-2278826,
玉林民众药业杏仁药店,地址：广西省玉林市苗园路399-4号,电话：无,
玉林民众药业心心药店,地址：广西省玉林市金旺路60号,电话：无,
玉林民众药业康强药店,地址：广西省玉林市民主中路408号2号楼,电话：无,
玉林民众药业陈进药店,地址：广西省玉林市玉州区名山街道名山社区李塘188-2号,电话：无,
玉林民众药业茂林镇恒深药店,地址：广西省玉林市玉州区茂林镇茂林村杜屋村民小组商铺东起第二间,电话：无,
玉林民众药业广字号药店,地址：广西省玉林市西城开发区H区王惠春商铺,电话：无,
玉林民众药业和祥药店,地址：广西省玉林市教育东路２６４号,电话：无,
玉林民众药业圣源堂药店,地址：广西省玉林市中秀路１７０－６号,电话：0775-3126686,
玉林民众药业乾有药店,地址：广西省玉林市民主南路168号,电话：无,
玉林民众药业正康药店,地址：广西省玉林市福绵管理区成均镇大塘垌开发区老圩Ｍ８区１３号陈燕兴出租屋,电话：0775-2251449,
玉林民众药业樟木惠英药店,地址：广西省玉林市福绵管理区樟木牛圩坡供销社铺面,电话：无,
玉林民众药业甫正堂药店,地址：广西省玉林市大北路47号,电话：无,
玉林民众药业得康药店,地址：广西省玉林市南江镇七一村铁机路杨安荣铺面,电话：无,
玉林民众药业仁东启肇药店,地址：广西省玉林市玉州区仁东镇仁东圩晏少云宅,电话：0775-2230750,
玉林民众药业人敬药店,地址：广西省玉林市东门路荔园里4６号,电话：无,
玉林民众药业群生药店,地址：广西省玉林市大北路６４４号即城西镇庆丰村１０－２社庆丰路边,电话：无,
玉林民众药业民昌堂药店,地址：广西省玉林市民主北路２０８号岭南都会商品交易中心Ａ４幢１０号,电话：无,
玉林民众药业康健药店,地址：广西省玉林市大南路育才中学出租屋,电话：0775-3150522,
玉林民众药业民健堂药店,地址：广西省玉林市民主中路272-8号,电话：0775-3157987,
玉林民众药业九乾龙药店,地址：广西省玉林市富民路32号,电话：0775-2891767,
玉林民众药业仁和堂药店,地址：广西省玉林市内环南路253号,电话：无,
玉林民众药业保济药店,地址：广西省玉林市民主北路5１号,电话：无,
玉林民众药业百和堂药店,地址：广西省玉林市玉柴新城康华小区C1-1号,电话：无,
玉林民众药业仁兴堂药店,地址：广西省玉林市人民中路１９４号垌口大厦东面第二间铺面,电话：0775-3158191,
玉林民众药业恒健药店,地址：广西省玉林市大北路572号,电话：0775-3139538,
玉林民众药业安济药店,地址：广西省玉林市清宁路１５９号,电话：无,
玉林民众药业万圣堂药店,地址：广西省玉林市玉州区城西开发区Ｃ７栋,电话：无,
玉林民众药业新圣堂药店,地址：广西省玉林市福绵管理区成均镇李新商铺,电话：0775-3832888,
玉林民众药业百兴堂药店,地址：广西省玉林市民主中路２０９号肇昆组房产第１９号,电话：无,
玉林民众药业得心药店,地址：广西省玉林市站前路6号铺面,电话：0775-3832888,
玉林民众药业耕耘药店,地址：广西省玉林市玉州区大塘镇市场路乙级２、３号,电话：0775-2660327,
玉林民众药业新桥蓓康药店,地址：广西省玉林市福绵管理区新桥镇圩镇江南段１５１号新桥镇企业办公室铺面,电话：0775-2112590,
玉林民众药业新成药店,地址：广西省玉林市清淳路州珮开发区１７幢２４号,电话：0775-2821759,
玉林民众药业颐兴堂药店,地址：广西省玉林市民主中路３１号玉林镇东明村三伦社,电话：无,
玉林民众药业济民堂药店,地址：广西省玉林市一环北路738号,电话：0775-8843527,
玉林民众药业好上好药店,地址：广西省玉林市苗园路丽景花园2幢3号商铺,电话：无,
玉林民众药业中科堂药店,地址：广西省玉林市苗园路363号,电话：0775-3156329,
玉林民众药业安好药店,地址：广西省玉林市新民路112号,电话：无,
