新世纪医药张家圩店,地址：江苏省淮安市泗阳县张家圩镇张家圩街乡政府东侧100米,电话：无,
新世纪医药爱园药房,地址：江苏省淮安市泗阳县爱园镇小康街（泗沭医院对面）,电话：无,
新世纪医药王集药房,地址：江苏省淮安市泗阳县王集镇长安街（邮政局对面）,电话：无,
新世纪医药东方药房,地址：江苏省淮安市洪泽县东十一道南侧（曹树国出租屋）,电话：无,
新世纪医药步年药房,地址：江苏省淮安市洪泽县岔河镇淮宝路32号,电话：无,
新世纪医药民众药房,地址：江苏省淮安市洪泽县岔河镇淮宝路东侧28号,电话：无,
新世纪医药县康民药房,地址：江苏省淮安市金湖县闵桥镇古镇路21号,电话：无,
新世纪医药利民药房,地址：江苏省淮安市洪泽县岔河镇振兴路222号,电话：无,
新世纪医药百利药房,地址：江苏省淮安市金湖县陈桥镇（王友康出租屋）,电话：无,
新世纪医药康平药房,地址：江苏省淮安市盱眙县淮河乡集镇（刘益忠出租房）,电话：无,
新世纪医药长生药房,地址：江苏省淮安市洪泽县朱坝镇金季北路2号,电话：无,
新世纪医药健安药房,地址：江苏省淮安市金湖县前锋镇淮胜集镇（邹开芹出租屋）,电话：无,
新世纪医药春草堂药房,地址：江苏省淮安市盱眙县山水名都6幢111号,电话：无,
新世纪医药马坝健民药房,地址：江苏省淮安市盱眙县马坝镇陵园路99号（周培明出租房）,电话：无,
新世纪医药洪泽县开心人药房,地址：江苏省淮安市洪泽县城东风商业街（李洪宝出租屋）,电话：0517-87209968,
新世纪医药益群药房,地址：江苏省淮安市金湖县金南镇桥东（任连贵出租屋）,电话：无,
新世纪医药瑞普大药房,地址：江苏省淮安市盱眙县盱城镇洪武大道洪武花苑14幢1005室,电话：无,
新世纪医药健一药房,地址：江苏省淮安市盱眙县管镇镇分金亭街东侧（王金标出租房）,电话：无,
新世纪医药健康药房,地址：江苏省淮安市淮安区博里镇农民街腾飞南路（张永梅出租屋）,电话：无,
新世纪医药永生堂药房,地址：江苏省淮安市洪泽县朱坝镇长江西路北侧（仇正好出租屋）,电话：无,
新世纪医药芝林药房,地址：江苏省淮安市金湖县陈桥镇新农集镇（吉海波出租屋）,电话：无,
新世纪医药园区店,地址：江苏省淮安市盱眙县北苑新城A2-111,电话：无,
新世纪医药盱眙县同济药房,地址：江苏省淮安市盱眙县维桥乡维穆路173号（宋国明出租房）,电话：无,
新世纪医药淮安区利民药房,地址：江苏省淮安市淮安区复兴镇淮阜桥口（陈铁成出租屋）,电话：无,
新世纪医药益生堂药房,地址：江苏省淮安市洪泽县高良涧镇第六社区秦邓庄16号,电话：无,
新世纪医药百济堂药房,地址：江苏省淮安市盱眙县铁佛镇西大街8号一楼,电话：无,
新世纪医药存仁堂药房,地址：江苏省淮安市盱眙县管镇镇分金南路17号（欧明球出租房）,电话：无,
新世纪医药丁世纪药房,地址：江苏省淮安市盱眙县马坝镇文明西路184号（丁维骏出租房）,电话：无,
新世纪医药高萍药房,地址：江苏省淮安市淮安区朱桥镇河北（涧河街33号）,电话：0517-85360850,
新世纪医药宝芝堂药房,地址：江苏省淮安市洪泽县黄集镇黄河路南侧,电话：无,
新世纪医药保济堂药房,地址：江苏省淮安市盱眙县铁佛街道（何玉良、朱善兰出租房）,电话：无,
新世纪医药一笑堂药房,地址：江苏省淮安市盱眙县马坝镇陵园路26号（姚福玉出租屋）,电话：无,
新世纪医药永灵药房,地址：江苏省淮安市盱眙县黄花塘镇商业街云城路（朱孝荣出租屋）,电话：无,
新世纪医药兴龙药房,地址：江苏省淮安市淮安区仇桥乡苏庄村（杜天志出租屋）,电话：无,
新世纪医药济民药房,地址：江苏省淮安市金湖县涂沟镇唐港集镇（滕庆春出租屋）,电话：无,
新世纪医药盱眙县开心人药房,地址：江苏省淮安市盱眙县维桥乡商业街21号（吴建祥出租房）,电话：无,
新世纪医药康乐药房,地址：江苏省淮安市盱眙县穆店乡穆店村桥南组15号（孙仕平出租房）,电话：无,
