加一堂东升路店,地址：河北省张家口市宣化区东升路14号A段1号底商,电话：400-883-5030 ,
唐山永和医药华西店,地址：河北省唐山市大理路交通局对面,电话：0315-2249340,
唐山永和医药康力店,地址：河北省唐山市路北区河北小区,电话：无,
唐山永和医药汀流河二店,地址：河北省唐山市乐亭县汀流河镇东石各庄村,电话：无,
唐山永和医药归真堂店,地址：河北省唐山市唐山市路南区新天地购物乐园E1区1号,电话：0315-3735551,
唐山永和医药汀流河一店,地址：河北省唐山市乐亭县汀流河镇汀流河村,电话：无,
唐山永和医药永安路店,地址：河北省唐山市乐亭县乐亭镇祥瑞社区永安路西,电话：无,
唐山永和医药荷花坑店,地址：河北省唐山市路南区荷花上院文化南北街1-9号,电话：0315-6715918,
唐山永和医药中堡店,地址：河北省唐山市乐亭镇中堡镇经济小区,电话：无,
唐山永和医药永安店,地址：河北省唐山市滦南县胡各庄镇东胡村,电话：0315-4511058,
唐山永和医药九场店,地址：河北省唐山市曹妃甸区九农场厂部,电话：0315-8890162,
唐山永和医药马头营店,地址：河北省唐山市乐亭县马头营镇马头营村,电话：无,
唐山永和医药永诚店,地址：河北省唐山市滦南县方各庄镇后曲荒店村,电话：无,
唐山永和医药垦丰大街店,地址：河北省唐山市垦丰大街65-3,电话：0315-8713833,
唐山永和医药新寨店,地址：河北省唐山市乐亭县新寨镇二村,电话：无,
唐山永和医药垦丰大街西店,地址：河北省唐山市唐海县垦丰大街98号,电话：0315-8752904,
唐山永和医药姜各庄店,地址：河北省唐山市乐亭县姜各庄镇二村,电话：无,
唐山永和医药永旺店,地址：河北省唐山市滦南县胡各庄,电话：无,
唐山永和医药朝阳店,地址：河北省唐山市丰南开发区朝阳大街北侧高速交警队西,电话：0315-8188829,
唐山永和医药洒河桥店,地址：河北省唐山市迁西县洒河桥,电话：0315-5862373,
唐山永和医药茂北街店,地址：河北省唐山市乐亭县茂北街,电话：无,
唐山永和医药永华店,地址：河北省唐山市滦南县学苑街 （金城华苑二期15号门市）,电话：0315-4120089,
唐山永和医药百信店,地址：河北省唐山市路南区唐柏路郑家庄村东,电话：0315-8451883,
唐山永和医药宏康店,地址：河北省唐山市迁西县兴城镇白堡店村,电话：0315-5661225,
唐山永和医药茂源街店,地址：河北省唐山市乐亭县乐亭镇茂源街,电话：无,
唐山永和医药永昌店,地址：河北省唐山市滦南县西北街,电话：0315-4160598,
唐山永和医药健康商场店,地址：河北省唐山市迁西县城关喜峰路西侧,电话：0315-5622112,
唐山永和医药富强街店,地址：河北省唐山市乐亭县城区瑞祥社区永安路东,电话：0315-4694579,
唐山永和医药永信店,地址：河北省唐山市滦南县南大街,电话：0315-4115988,
唐山永和医药金融街店,地址：河北省唐山市乐亭县乐亭镇金融街,电话：无,
唐山永和医药永祥店,地址：河北省唐山市滦南县建设路西侧（二贸商场B1\\\\B2\\\\B3\\\\B4),电话：无,
唐山永和医药永尚店,地址：河北省唐山市滦南县中大街东段仕达商业楼19号、20号（新县医院对过）,电话：无,
唐山永和医药永和店,地址：河北省唐山市滦南县城步行街北口2号,电话：0315-4125096,
唐山永和医药景苑店,地址：河北省唐山市开平区东城路东城景苑S2-1-103,电话：0315-3848737,
唐山永和医药东城店,地址：河北省唐山市开平区东城绿庭3号楼7门底商,电话：无,
唐山永和医药南堡店,地址：河北省唐山市南堡开发区硕秋园商城4号楼13号,电话：0315-8193646,
唐山永和医药和顺店,地址：河北省唐山市南堡开发区发展道南侧,电话：0315-8519611,
唐山永和医药和美店,地址：河北省唐山市南堡开发区金港明珠北区102-1-107,电话：0315-5656146,
保定万宝堂第一百零六分店,地址：河北省保定市阜平县中兴街172号,电话：0312-7223221,
保定万宝堂第八十三分店,地址：河北省保定市安新县安新镇大张庄村,电话：无,
保定万宝堂第四十分店,地址：河北省保定市易县裴山镇裴山村,电话：无,
保定万宝堂第八十六分店,地址：河北省保定市唐县人民医院南行路西,电话：无,
保定万宝堂第三十七分店,地址：河北省保定市易县转盘北100米路东,电话：0312-8210753,
保定万宝堂第三十八分店,地址：河北省保定市容城县小里镇小里村,电话：0312-5589420,
保定万宝堂第二十九分店,地址：河北省保定市保定市七一路郝庄新区,电话：0312-7519518,
保定万宝堂第七十九分店,地址：河北省保定市容城县小里镇黑龙口村,电话：无,
保定万宝堂第八十分店,地址：河北省保定市保定市新市区盛兴路勘察院生活区8栋底商52号,电话：无,
保定万宝堂第八十九分店,地址：河北省保定市涞水县东大街104号,电话：无,
保定万宝堂第十八分店,地址：河北省保定市保定市江城乡江城村,电话：0312-8927101,
保定万宝堂第六十九分店,地址：河北省保定市清苑县大庄乡大庄村 ,电话：无,
保定万宝堂第四十八分店,地址：河北省保定市保定市富昌路10号,电话：0312-3231696,
保定万宝堂第三十四分店,地址：河北省保定市顺平县顺保路,电话：无,
保定万宝堂第十三分店,地址：河北省保定市清苑县农贸市场三期工程,电话：0312-8119779,
保定万宝堂乐仁堂鹤年药店,地址：河北省保定市阳光北大街国宅华园小区1182楼6号底商,电话：0312-2023759,
