同一医药紫荆花路连锁店,地址：浙江省杭州市西湖区骆家庄西苑二区76号,电话：0571-56826190,
同一医药西溪路连锁店,地址：浙江省杭州市西湖区西溪路865号,电话：0571-56826190,
同一医药瓜山南苑连锁店,地址：浙江省杭州市拱墅区瓜山南苑14幢99号,电话：0571-56796569,
同一医药崇贤第二连锁店,地址：浙江省杭州市余杭区崇贤镇崇超路111号,电话：0571-86199263,
同一医药拱墅区东园村店,地址：浙江省杭州市拱墅区富强路18号,电话：0571-89907868,
同一医药香积寺路连锁店,地址：浙江省杭州市拱墅区香积寺路335号,电话：0571-56334030,
同一医药拱墅区吉如村店,地址：浙江省杭州市拱墅区吉如家园1幢1-6号,电话：0571-89907869,
同一医药橄榄树花园连锁店,地址：浙江省杭州市余杭区崇贤镇橄榄树花园南区2幢2-6号,电话：0571-88548842,
同一医药五联西苑第二连锁店,地址：浙江省杭州市西湖区五联西苑51号,电话：0571-89907866,
同一医药新文村第二连锁店,地址：浙江省杭州市拱墅区祥符镇新文村塘河口4号,电话：0571-56863245,
同一医药拱墅区水曲苑店,地址：浙江省杭州市拱墅区都市水乡水曲苑商铺42号,电话：0571-89907869,
同一医药崇贤连锁店,地址：浙江省杭州市余杭区崇贤镇向阳村前村街232号,电话：0571-86274876,
同一医药杨家牌楼连锁店,地址：浙江省杭州市西湖区杨家牌楼195号,电话：0571-89907860,
同一医药拱墅区石祥路医店,地址：浙江省杭州市拱墅区石祥路188号皋亭坝,电话：0571-89907869,
同一医药下沙连锁店,地址：浙江省杭州经济技术开发区天城东路124-1号,电话：无,
同一医药江干区御云路店,地址：浙江省杭州市江干区彭埠镇云峰村二区48号隔壁,电话：0571-89907867,
同一医药同心村连锁店,地址：浙江省杭州市江干区笕桥镇同心村七组,电话：0571-85147072,
同一医药东湖南路连锁店,地址：浙江省杭州市余杭区临平东湖南路258、260号,电话：0571-89189480,
同一医药五联西苑连锁店,地址：浙江省杭州市西湖区文新街道五联西苑89号,电话：0571-89907859,
同一医药长瀛苑连锁店,地址：浙江省杭州市下城区石桥街道长瀛苑36号,电话：0571-28023005,
同一医药黄家村连锁店,地址：浙江省杭州市江干区笕桥镇黄家村二组,电话：0571-85145950,
同一医药江干区钱潮路店,地址：浙江省杭州市江干区五堡三区78号五堡,电话：0571-86497230,
同一医药新家园连锁店,地址：浙江省杭州市下城区沈家社区新家园1号,电话：0571-28026115,
同一医药葛家车村连锁店,地址：浙江省杭州市余杭区乔司镇葛家车村吴家车自然村198号,电话：0571-89196395,
同一医药黎明村第二连锁店,地址：浙江省杭州市江干区黎明村十四组61号一楼,电话：0571-89907839,
同一医药黎明花苑连锁店,地址：浙江省杭州市江干区黎明花苑三区配套房8-1,8-2号,电话：0571-89907802,
同一医药杨家墩连锁店,地址：浙江省杭州市滨江区浦沿街道杨家墩村5组,电话：0571-86632665,
同一医药西湖区颐景园店,地址：浙江省杭州市西湖区颐景园留云苑商铺1-104,电话：0571-89907812,
同一医药丁桥连锁店,地址：浙江省杭州市江干区惠兰雅路572-5-6-7号,电话：0571-86820632,
同一医药博园路连锁店,地址：浙江省杭州市余杭区良渚镇博园路1-1-019至113号,电话：0571-89016353,
同一医药六堡第四连锁店,地址：浙江省杭州市江干区五福亭二区136号,电话：0571-86498632,
同一医药富阳连锁店,地址：浙江省杭州市富阳区东洲街道民联村钱塘家园13号,电话：0571-86632665,
同一医药下城区石桥南苑店,地址：浙江省杭州市下城区石桥南苑42号,电话：0571-89907876,
同一医药南庄兜连锁店,地址：浙江省杭州市余杭区良渚镇南庄兜村十八组26号,电话：0571-88749681,
同一医药三里亭连锁店,地址：浙江省杭州市江干区三里亭农副产品综合市场9－10号营业房,电话：0571-86405963,
同一医药六堡第三连锁店,地址：浙江省杭州市江干区彭埠镇三官堂一区52号,电话：0571-88184078,
同一医药下城区杨家新区店,地址：浙江省杭州市下城区杨家新区农居点11－13号,电话：0571-85081294,
同一医药南庄兜第二连锁店,地址：浙江省杭州市余杭区良渚街道南庄兜村16组南庄兜西苑8号,电话：0571-89366489,
同一医药逸盛路连锁店,地址：浙江省杭州余杭区良渚镇逸盛路141—145号,电话：0571-89010165,
同一医药俞章村第二连锁店,地址：浙江省杭州市江干区笕桥镇俞章村2组63号,电话：0571-89907852,
同一医药六堡第二连锁店,地址：浙江省杭州市江干区六堡村三官堂二区168号,电话：0571-86497810,
同一医药逸盛路第二连锁店,地址：浙江省杭州市余杭区良渚街道逸盛路48号一层营业房C区C3号楼第一层3-7、3-8,电话：0571-85086723,
