甘肃德生堂大药房连锁经营有限公司成纪大道大药店,地址：甘肃省天水市秦州区绿色市场成纪大道(近成纪大道大药房),电话：0938-2650454,
信谊堂药业有限责任公司,地址：甘肃省张掖市甘州区南街19号,电话：0936-8263996 ,
谊堂大药房三分店,地址：甘肃省张掖市甘州区新乐小区内,电话：0936-8837766 ,
信谊堂大药房二分店,地址：甘肃省张掖市甘州区西环路新乐超市西关店北侧西关面粉厂十字西南角,电话：0936-8687889 ,
谊堂大药房一分店,地址：甘肃省张掖市甘州区北水桥街27号甘州区医院正对面,电话：0936-8215418 ,
张掖市甘州区信谊堂大药房,地址：甘肃省张掖市甘州区北街十字西北角,电话：0936-8236110 ,
平凉市新生药业二十六分店,地址：甘肃省平凉市民馨家园C区高层2幢5号商铺,电话：0933-8265726,
平凉市新生药业二十五分店,地址：甘肃省平凉市灵台法院办公楼下,电话：0933-3621609,
平凉市新生药业十二分店,地址：甘肃省平凉市泾川县新景花园1号楼15号,电话：0933-3308562,
平凉市新生药业二十分店,地址：甘肃省平凉市平凉市文化街7号,电话：0933-8210331,
平凉市新生药业十一分店,地址：甘肃省平凉市平凉市南门什字华泰大厦一层,电话：0933-8231578,
平凉市新生药业二分店,地址：甘肃省平凉市平凉市崆峒区中山街91号,电话：0933-8224922,
平凉市新生药业二十四分店,地址：甘肃省平凉市静宁新盛花园小区会所2号门店,电话：0933-2526068,
平凉市新生药业十分店,地址：甘肃省平凉市平凉市崆峒区广城路3号,电话：0933-8231210,
平凉市新生药业二十三分店,地址：甘肃省平凉市静宁城关区交警大队隔壁,电话：0933-2531268,
平凉市新生药业十九分店,地址：甘肃省平凉市平凉新世纪花园A区22号楼下23、24号,电话：0933-8299619,
平凉市新生药业九分店,地址：甘肃省平凉市平凉市崆峒区仓坊巷1号,电话：0933-8217919,
平凉市新生药业一分店,地址：甘肃省平凉市盘旋路粮贸大厦一层南3号,电话：0933-8619861,
平凉市新生药业十八分店,地址：甘肃省平凉市平凉市崆峒区新裕花园1号楼2号门面,电话：0933-8552686,
平凉市新生药业八分店,地址：甘肃省平凉市平凉市果园路20号,电话：0933-8717608,
平凉市新生药业二十八分店,地址：甘肃省平凉市华亭县南大街华亭汽车站西北方向斜对面150米,电话：无,
平凉市新生药业二十二分店,地址：甘肃省平凉市新民南路南苑小区一号小区二号营业房,电话：0933-8265492,
