先臻药房对炉分店,地址：辽宁省鞍山市铁西区三十五中佳泰乐超市旁,电话：0412-6352877,
先臻药房前进分店,地址：辽宁省鞍山市铁西区站前原爱民小学东走100米,电话：0412-2215168,
先臻药房市府分店,地址：辽宁省鞍山市铁西区市中心医院胖妈饺子馆北,电话：0412-5528788,
先臻药房佳诚分店,地址：辽宁省鞍山市铁西区四海假日酒店南走200米,电话：0412-6349838,
先臻药房大西街分店,地址：辽宁省鞍山市铁西区大西街来福超市对面,电话：0412-8428558,
先臻药房八中分店,地址：辽宁省鞍山市立山区时代购物广场北门旁,电话：0412-5698781,
先臻药房维泰分店,地址：辽宁省鞍山市铁西区铁东区中医院对面,电话：0412-2620338,
先臻药房自由分店,地址：辽宁省鞍山市立山区金都名苑南侧,电话：0412-6604598,
先臻药房高新分店,地址：辽宁省鞍山市铁西区绿色智慧城北门,电话：0412-5261818,
先臻药房凯圣分店,地址：辽宁省鞍山市铁西区铁东区中医院南走200米,电话：0412-2556116,
先臻药房大商分店,地址：辽宁省鞍山市铁西区人民路大商超市正门西侧,电话：0412-8998668,
先臻药房双山分店,地址：辽宁省鞍山市立山区双山医院斜对面,电话：0412-6386118,
先臻药房大德分店,地址：辽宁省鞍山市铁西区卫钢街大德翠韵华庭北门,电话：0412-5682550,
先臻药房人民路分店,地址：辽宁省鞍山市铁西区民路汇福家园正门西侧,电话：0412-8406538,
先臻药房天顺分店,地址：辽宁省鞍山市立山区劳动大厦对面,电话：0412-6595818,
先臻药房九中分店,地址：辽宁省鞍山市铁西区园林路九中南墙外,电话：0412-5842118,
先臻药房繁荣分店,地址：辽宁省鞍山市铁西区佳泰乐超市南走200米,电话：0412-8532818,
先臻药房利群分店,地址：辽宁省鞍山市铁西区对炉大家乐超市旁,电话：0412-6315008,
先臻药房绿化分店,地址：辽宁省鞍山市铁西区二一九南门斜对面,电话：0412-5861818,
先臻药房润发分店,地址：辽宁省鞍山市铁西区大润发超市对面,电话：0412-8523818,
先臻药房站前分店,地址：辽宁省鞍山市铁西区站前电业宾馆西侧,电话：0412-5668988,
先臻药房恒生分店,地址：辽宁省鞍山市铁西区湖南街佳泰乐超市旁,电话：0412-5843818,
先臻药房爱民分店,地址：辽宁省鞍山市铁西区鞍山市公证处对面,电话：0412-2211138,
先臻药房湖南分店,地址：辽宁省鞍山市铁西区湖南中医院东100米,电话：0412-5810181,
先臻药房常青分店,地址：辽宁省鞍山市铁西区常青转盘安全局对面,电话：0412-5827118,
连丰大药房顺通店,地址：辽宁省大连市沙河口区翰林园20号2单元1层1号,电话：无,
连丰大药房绿波店,地址：辽宁省大连市沙河口区绿波路26-1号,电话：无,
连丰大药房瑞景园店,地址：辽宁省大连市保税区大窑湾街道瑞景园12-54号,电话：无,
连丰大药房车家村店,地址：辽宁省大连市沙河口区沙能街72号1层南公建,电话：无,
连丰大药房雨阳店,地址：辽宁省大连市保税区黄海中路港湾观海5号楼1单元1层1号、1层2号,电话：无,
连丰大药房锦霞店,地址：辽宁省大连市沙河口区富民路152号1-2层公建,电话：0411-84301400,
连丰大药房宇晨店,地址：辽宁省大连市保税区湖居东园67号A46幢1单元1层1号,电话：无,
连丰大药房民权店,地址：辽宁省大连市沙河口区民权北四街46号,电话：无,
连丰大药房春天店,地址：辽宁省大连市保税区二十里堡街道芳里园30幢1层94号,电话：无,
连丰大药房北乐店,地址：辽宁省大连市沙河口区红旗东路46号A-F\/1-7轴公建,电话：无,
连丰大药房台山店,地址：辽宁省大连市沙河口区台山街112号一层公建,电话：0411-84380478,
连丰大药房二十里店,地址：辽宁省大连市保税区二十里保镇二十里村金堡小区1＃9号,电话：无,
连丰大药房新城店,地址：辽宁省大连市沙河口区香洲心城6号-2-1号,电话：无,
连丰大药房敦煌店,地址：辽宁省大连市沙河口区敦煌南街83号1单元1层2号,电话：无,
连丰大药房红光店,地址：辽宁省大连市普湾新区石河街道鹏润小区7-4号、7-5号,电话：无,
连丰大药房恒得店,地址：辽宁省大连市沙河口区展望街16号3-1-2号,电话：无,
连丰大药房尚海店,地址：辽宁省大连市保税区黄海东路57-3号,电话：无,
连丰大药房康盛店,地址：辽宁省大连市普湾新区三十里堡街道民安路35号1单元1层1号,电话：无,
连丰大药房玉泉店,地址：辽宁省大连市沙河口区知邻街52号,电话：无,
连丰大药房宏伟店,地址：辽宁省大连市保税区二十里堡街道双十路517号1层8号,电话：无,
连丰大药房绿景园店,地址：辽宁省大连市普湾新区三十里堡街道民安路161-9号,电话：0411-87353159,
连丰大药房景致店,地址：辽宁省大连市保税区二十里堡街道景致小区14号楼二单元一层一号,电话：无,
连丰大药房农场店,地址：辽宁省大连市普湾新区三十里堡街道国泰路学府尚居B区18号楼3单元,电话：无,
连丰大药房交通大学店,地址：辽宁省大连市旅顺经济开发区海辉街43-2号公建,电话：无,
连丰大药房旅顺口店,地址：辽宁省大连市旅顺口区龙头街道海鲜街78号,电话：无,
连丰大药房香炉礁店,地址：辽宁省大连市西岗区香炉礁街46号公建,电话：无,
连丰大药房翠岛店,地址：辽宁省大连市长兴岛临港工业区景杭路翠岛经典小区7-1号,电话：无,
连丰大药房宏玉店,地址：辽宁省大连市西岗区金海西园23号1单元1层1号,电话：无,
连丰大药房宏鑫店,地址：辽宁省大连市瓦房店市文兰办事处南共济街三段71幢1号,电话：0411-85691305,
连丰大药房雨欣店,地址：辽宁省大连市金州区拥政街道胜利路763-1号1层,电话：无,
连丰大药房傅家庄店,地址：辽宁省大连市西岗区华海街14号1层2号,电话：0411-82404346,
连丰大药房宝丰店,地址：辽宁省大连市瓦房店市东岗镇沟口村大沟口屯,电话：0411-85131007,
连丰大药房南棉路店,地址：辽宁省大连市金州区站前街道南棉路380号2-7号,电话：无,
连丰大药房景苑店,地址：辽宁省大连市金州区拥政街道古城天下1-10号1-2层,电话：无,
连丰大药房火炬路店,地址：辽宁省大连市高新园区聚贤路122号,电话：0411-87840581,
连丰大药房曲大屯店,地址：辽宁省大连市瓦房店市岗店办事处曲大屯村曲大屯,电话：无,
