重庆全兴药房金龙路分店,地址：重庆市渝北区龙溪镇金龙路242号,电话：023-67607175,
重庆全兴药房天星桥二店,地址：重庆市沙坪坝区天星桥正街,电话：023-65319097,
重庆全兴药房垫江二店,地址：重庆市垫江县西欧花园商业步行街河滨苑平街层29-32号门市,电话：023-74690303,
重庆全兴药房枫丹路分店,地址：重庆市九龙坡区枫丹路70、68号,电话：023-88903662,
重庆全兴药房龙溪镇分店,地址：重庆市渝北区龙溪镇武陵路71号第裙房幢商12铺、商储1铺,电话：023-67605116,
重庆全兴药房永川五分店,地址：重庆市永川区文明路2号附9门市,电话：023-49863897,
重庆全兴药房李家沱三分店,地址：重庆市巴南区李家沱林荫村18号都和广场负一层FM-12号,电话：023-62855519,
重庆全兴药房塘坝药店,地址：重庆市潼南塘坝镇人民街水冲坝7-8号门面,电话：023-44342121,
重庆全兴药房万盛三分店,地址：重庆市万盛区万盛大道21号,电话：023-63746400,
重庆全兴药房北碚二店,地址：重庆市北碚区胜利村17--10、11号,电话：023-68286500,
重庆全兴药房仁仁堂二分店,地址：重庆市渝中区大同巷19号民生大厦平街一楼,电话：023-63746400,
重庆全兴药房洛碛分店,地址：重庆市渝北区洛碛镇新渝路新渝大厦二号门市,电话：023-6738889,
重庆全兴药房小涛虫草行店,地址：重庆市渝中区戴家巷2号102号,电话：023-63705154,
重庆全兴药房大石坝分店,地址：重庆市江北区大石坝五村243号附1号,电话：023-67077298,
重庆全兴药房黄桷坪分店,地址：重庆市九龙坡区黄桷坪新建路2栋2＃7＃（临街层),电话：023-68504068,
重庆全兴药房丰都三店,地址：重庆市丰都县三合镇平都商场B区10、11号,电话：023-70722896,
重庆全兴药房人和二店,地址：重庆市渝北区人和镇龙寿路530号B2幢1-1号,电话：023-67640102,
重庆全兴药房石柱二店,地址：重庆市石柱县南滨镇玉带北街20-B-3-255（1）0.1.3,电话：023-73330821,
重庆全兴药房丰都二分店,地址：重庆市丰都县三和镇滨江西路1号2楼1号,电话：023-70720931,
重庆全兴药房四公里店,地址：重庆市南岸区海棠街道四公里街233号房,电话：023-62753382,
重庆全兴药房桂花园店,地址：重庆市渝中区桂花园农贸市场平街层2-6、2-7、2-8号摊位,电话：023-63863813,
重庆全兴药房丰都一分店,地址：重庆市丰都县平都大道西段228号,电话：023-70720930,
重庆全兴药房南川一店,地址：重庆市南川西城街道办事处南园路10号3、4号门市,电话：023-71432115,
重庆全兴药房长生分店,地址：重庆市南岸区长生桥镇河街54号,电话：023-62452536,
重庆全兴药房杨家坪二店,地址：重庆市九龙坡区杨家坪直港大道9号、10号门面,电话：023-68408470,
重庆全兴药房双龙湖店,地址：重庆市渝北区双龙湖街道飞湖路农贸市场1幢2-24,电话：023-67487861,
重庆全兴药房双凤桥店,地址：重庆市渝北区双凤桥街道双凤路273号,电话：023-67813826,
重庆全兴药房万盛二店,地址：重庆市万盛区万东北路61号1-13号,电话：023-48274115,
重庆全兴药品有限公司沙坪公园,地址：重庆市沙坪坝区天陈路56号第1层,电话：023-65340590,
重庆全兴药房人和分店,地址：重庆市渝北区人和街道办事处万年一支路81号,电话：023-67644801,
重庆全兴药房双桥分店,地址：重庆市双桥时代广场B幢一层16、17号,电话：023-43332053,
重庆全兴药房万盛分店,地址：重庆市万盛区矿山路42号附15,电话：023-48274115,
重庆全兴药房天星桥店,地址：重庆市沙坪坝区天星桥正街89-6号,电话：023-65323911,
重庆全兴药房鱼洞三店,地址：重庆市巴南区鱼洞中干道浩立•城市花园106-7号,电话：023-66210578,
重庆全兴药房潼南分店,地址：重庆市潼南县梓潼镇书院街二号楼5-6号,电话：023-44553373,
重庆全兴药房合川二店,地址：重庆市合川中什字购物广场C幢楼平街层,电话：023-42750852,
重庆全兴药房南坪二店,地址：重庆市南岸区南坪西路43号,电话：023-62600184,
重庆全兴药房鱼洞二店,地址：重庆市巴南区鱼洞新市街56号-1号,电话：023-66213262,
重庆全兴药房永川三店,地址：重庆市永川市木货街52号,电话：023-49817287,
重庆全兴药房垫江一店,地址：重庆市垫江县桂溪镇东方花园B座17-19号,电话：023-74526418,
重庆全兴药房马王乡店,地址：重庆市九龙坡区石坪桥马王三村11栋2-2-2号,电话：023-68905581,
重庆全兴药房陈家湾店,地址：重庆市沙坪坝沙区渝碚路200-9号,电话：023-65326639,
重庆全兴药房长寿二店,地址：重庆市长寿区协信长寿购物中心A区一层327.5第A28-31号场地,电话：023-40240886,
重庆全兴药房大渡口店,地址：重庆市大渡口区九宫庙街道九宫庙141号,电话：023-68953659,
重庆全兴药房渝州新城店,地址：重庆市九龙坡区石新路33号渝洲新城2、4幢1-124号,电话：023-68690264,
