富康医药海北门源县总店,地址：青海省海北藏族自治州浩门镇花园西路5号,电话：0971-6266658,
富康医药海北商业巷店,地址：青海省海北藏族自治州海晏县商业巷70号,电话：0971-4316588,
富康医药海北大庄村村级连锁店,地址：青海省海北藏族自治州门源回族自治县,电话：0971-4722929,
富康医药海北C152店,地址：青海省海北藏族自治州盘大公路四海饭店东,电话：0971-8261660,
富康医药海北福济堂大药房,地址：青海省海北藏族自治州海晏县同宝路,电话：0971-8261660,
富康医药海北C043店,地址：青海省海北藏族自治州仙米乡卫生院对面,电话：0971-6266658,
富康医药海北富佳乐大药房,地址：青海省海北藏族自治州刚察县西大街2号,电话：0971-4316588,
富康医药海北花园西路店,地址：青海省海北藏族自治州门源回族自治县花园西路5,电话：0971-6266658,
富康医药海北鸽子洞店,地址：青海省海北藏族自治州祁连县鸽子洞大桥附近,电话：0971-4316588,
富康医药海北泰宁堂大药房,地址：青海省海北藏族自治州门源回族自治县北大街46号,电话：0971-4722929,
富康医药海北瑞鑫大药房,地址：青海省海北藏族自治州八宝东路69,电话：0971-4316588,
富康医药海北托勒村村级连锁店,地址：青海省海北藏族自治州祁连县204省道益民藏医诊所附近,电话：0971-4316588,
富康医药海北爱民医药店,地址：青海省海北藏族自治州门源回族自治县北大街与西大街交叉口,电话：0971-4722929,
富康医药海北安盛堂大药房,地址：青海省海北藏族自治州智合格北巷5号,电话：0971-8261660,
富康医药海北青源大药房,地址：青海省海北藏族自治州北街23号,电话：0971-4722929,
富康医药海北宝康大药房,地址：青海省海北藏族自治州南大街8号,电话：0971-8261660,
富康医药海北默勒镇店,地址：青海省海北藏族自治州默勒镇人民政府西南近岗木线,电话：0971-4722929,
富康医药海北君善堂大药房,地址：青海省海北藏族自治州刚察县农村信用社对面,电话：0971-8261660,
富康医药海北康灵芝大药房,地址：青海省海北藏族自治州门源回族自治县西关街门源县第一中学斜对面,电话：0971-6266658,
富康医药海北润华大药房,地址：青海省海北藏族自治州门源县青石咀镇汽车站对面,电话：0971-8261660,
富康医药海北顺昌大药房,地址：青海省海北藏族自治州祁连县岗嘎路峨堡镇政府对面,电话：0971-6266658,
富康医药海北祁连药品平价超市店,地址：青海省海北藏族自治州广场西路吉祥花园小区门口,电话：0971-8261660,
富康医药海北和心堂大药房,地址：青海省海北藏族自治州环城北路与北山路交叉口处,电话：0971-6266658,
富康医药海北延春堂大药房,地址：青海省海北藏族自治州环城西路139号附近,电话：0971-4316588,
富康医药海北浩门大药房,地址：青海省海北藏族自治州南大街11附近,电话：0971-6266658,
富康医药海北宜春大药房,地址：青海省海北藏族自治州海晏县刚察路115号,电话：0971-4316588,
富康医药海北峨堡村村级店,地址：青海省海北藏族自治州祁连县公安局峨堡派出所附近,电话：0971-6266658,
富康医药海北老百姓大药房,地址：青海省海北藏族自治州刚察路78号,电话：0971-4316588,
富康医药海北长生源大药房,地址：青海省海北藏族自治州八宝镇八宝西路334号,电话：0971-4722929,
富康医药海北健君大药房,地址：青海省海北藏族自治州西街46号附近,电话：0971-4316588,
富康医药海北松鹤大药房,地址：青海省海北藏族自治州刚察县东大街125号,电话：0971-4722929,
富康医药海北盘大公路店,地址：青海省海北藏族自治州皇城蒙古乡盘大公路边,电话：0971-4316588,
富康医药海北宝延堂大药房,地址：青海省海北藏族自治州门源县岗青公路克图供销社对面,电话：0971-4722929,
富康医药海北泽众堂大药房,地址：青海省海北藏族自治州八宝西路374号,电话：0971-8261660,
富康医药海北福睿大药房,地址：青海省海北藏族自治州刚察县南大街12号,电话：0971-4722929,
富康医药海北峨堡广场大药房,地址：青海省海北藏族自治州祁连县峨堡广场对面,电话：0971-8261660,
富康医药海北C015店,地址：青海省海北藏族自治州刚察县吉尔孟乡汽车站对面,电话：0971-4722929,
富康医药海北富济堂大药房,地址：青海省海北藏族自治州同宝路119号,电话：0971-8261660,
富康医药海北回春堂药店,地址：青海省海北藏族自治州六一巷24号,电话：0971-4722929,
富康医药海北松龄大药房,地址：青海省海北藏族自治州门源县西街北街交叉口附近,电话：0971-8261660,
富康医药玉树曲麻莱县三友大药房,地址：青海省玉树藏族自治州觉悟路52号,电话：0971-6266658,
富康医药海北富安堂大药店,地址：青海省海北藏族自治州西大街76号,电话：0971-6266658,
富康医药海北康恒大药店,地址：青海省海北藏族自治州商业巷37号,电话：0971-8261660,
富康医药海北益民大药房,地址：青海省海北藏族自治州海晏县商业巷25号,电话：0971-6266658,
富康医药玉树广仁堂大药房,地址：青海省玉树藏族自治州玉树县红旗路,电话：0971-4316588,
富康医药海北永青大药房,地址：青海省海北藏族自治州刚察县哈尔盖乡政府西侧,电话：0971-6266658,
富康医药海北普瑞大药房,地址：青海省海北藏族自治州八宝西路268,电话：0971-4316588,
富康医药玉树广慈堂大药房,地址：青海省玉树藏族自治州玉树县琼龙路皇朝商务宾馆旁,电话：0971-4722929,
富康医药海北盛阳大药房,地址：青海省海北藏族自治州门源回族自治县东大街53号,电话：0971-4722929,
富康医药玉树富泰大药房,地址：青海省玉树藏族自治州香达东街72-92号,电话：0971-8261660,
富康医药玉树尼达第六药房,地址：青海省玉树藏族自治州扎西科路540号,电话：0971-6266658,
富康医药玉树治多县大药房,地址：青海省玉树藏族自治州治渠街18号,电话：0971-4316588,
富康医药果洛建设路店,地址：青海省果洛藏族自治州建设路17号,电话：0971-8261660,
富康医药玉树黄河源大药房,地址：青海省玉树藏族自治州觉悟路3号,电话：0971-4722929,
富康医药果洛牧康医药店,地址：青海省果洛藏族自治州宁果路74号,电话：0971-6266658,
富康医药玉树萨呼腾大药房,地址：青海省玉树藏族自治州日历寺路,电话：0971-8261660,
富康医药果洛F004店,地址：青海省果洛藏族自治州玛沁县久治路81号,电话：0971-4316588,
富康医药玉树五世堂药房,地址：青海省玉树藏族自治州治多县民政局对面,电话：0971-6266658,
富康医药果洛康复大药房,地址：青海省果洛藏族自治州玛沁县团结路278号,电话：0971-4316588,
富康医药果洛回春堂药店,地址：青海省果洛藏族自治州玛沁县班玛路,电话：0971-4722929,
富康医药玉树囊谦大药房,地址：青海省玉树藏族自治州香达东街11号,电话：0971-4316588,
富康医药果洛杏林药店,地址：青海省果洛藏族自治州玛沁县宁果路,电话：0971-8261660,
富康医药玉树琪欣大药房,地址：青海省玉树藏族自治州然子路267-4号,电话：0971-4722929,
富康医药果洛花石峡崇仁堂大药房,地址：青海省果洛藏族自治州平安路32号,电话：0971-6266658,
富康医药玉树群康大药房,地址：青海省玉树藏族自治州治渠街61号,电话：0971-8261660,
富康医药玉树中西大药房,地址：青海省玉树藏族自治州囊谦县香达西街1-71号,电话：0971-6266658,
富康医药果洛寿仁堂大药房,地址：青海省果洛藏族自治州宁果路110号,电话：0971-8261660,
富康医药玉树康益堂大药房,地址：青海省玉树藏族自治州然子路139-7号雪原宾馆,电话：0971-4316588,
富康医药玉树咋多线大药店,地址：青海省玉树藏族自治州杂多县然子路77号,电话：0971-4722929,
富康医药果洛福路巷大药房,地址：青海省果洛藏族自治州玛多县公安局交警大队对面,电话：0971-4722929,
富康医药果洛永乐大药房,地址：青海省果洛藏族自治州玛多县黄河东路223号,电话：0971-6266658,
富康医药黄南D001店,地址：青海省黄南藏族自治州同仁县夏琼北路10号,电话：0971-4722929,
富康医药黄南D018店,地址：青海省黄南藏族自治州泽库县喝日乡政府对面,电话：0971-6266658,
富康医药黄南D024店,地址：青海省黄南藏族自治州同仁县循同路,电话：0971-8261660,
富康医药果洛永平大药房,地址：青海省果洛藏族自治州玛多县黄河东路37号,电话：0971-4316588,
富康医药黄南D020店,地址：青海省黄南藏族自治州同仁县年都乎寺附近,电话：0971-4316588,
富康医药黄南宁木特大药房,地址：青海省黄南藏族自治州河南蒙古族自治县河南县宁木特乡中心卫生院东临,电话：0971-8261660,
富康医药黄南德瑞堂大药房,地址：青海省黄南藏族自治州河南蒙古族自治县东大街71号,电话：0971-4316588,
富康医药黄南同仁县大药房,地址：青海省黄南藏族自治州同仁县同夏公路,电话：0971-4722929,
富康医药黄南宝盛堂大药房,地址：青海省黄南藏族自治州尖扎县韩德林内科诊所附近,电话：0971-6266658,
富康医药黄南仟禧堂大药房,地址：青海省黄南藏族自治州德合隆北路45号南,电话：0971-4722929,
富康医药黄南正元堂大药房,地址：青海省黄南藏族自治州迎宾路86号,电话：0971-8261660,
