齐齐哈尔齐泰医药红星分店,地址：黑龙江省齐齐哈尔市龙沙区民意路63号,电话：0452-2831117,
齐齐哈尔齐泰医药东湖分店,地址：黑龙江省齐齐哈尔市铁峰区南浦街道-粮库楼-单元104号,电话：0452-2637808,
齐齐哈尔齐泰医药东四分店,地址：黑龙江省齐齐哈尔市建华区方兴新村11号楼00单元1-4号,电话：0452-2558517,
齐齐哈尔齐泰医药中环分店,地址：黑龙江省齐齐哈尔市龙沙区中环广场5号楼00单元01-03号,电话：0452-2282811,
齐齐哈尔齐泰医药建设路分店,地址：黑龙江省齐齐哈尔市铁峰区太顺街92号北太路13棟01-01-01号,电话：0452-2187928,
齐齐哈尔齐泰医药滨湖分店,地址：黑龙江省齐齐哈尔市龙沙区阳光名宅23号楼,电话：0452-2837788,
齐齐哈尔齐泰医药民航路分店,地址：黑龙江省齐齐哈尔市龙沙区民航路畅心园A区4号楼1楼商服,电话：0452-2738001,
齐齐哈尔齐泰医药曙光分店,地址：黑龙江省齐齐哈尔市铁锋区曙光大街61号00单元01层12号,电话：0452-2525366,
齐齐哈尔齐泰医药景新分店,地址：黑龙江省齐齐哈尔市铁峰区龙华路289号,电话：0452-6136638,
齐齐哈尔齐泰医药厂西分店,地址：黑龙江省齐齐哈尔市龙沙区合意路288号,电话：0452-2571116,
齐齐哈尔齐泰医药鸿盛分店,地址：黑龙江省齐齐哈尔市建华区中华西路劳技小区1号楼155号,电话：0452-2738000,
齐齐哈尔齐泰医药北大街分店,地址：黑龙江省齐齐哈尔市建华区卜奎北大街235号北关小区52号楼,电话：0452-2553883,
齐齐哈尔齐泰医药纯水岸分店,地址：黑龙江省齐齐哈尔市建华区纯水岸16号楼大堂内,电话：0452-6136637,
齐齐哈尔齐泰医药福顺分店,地址：黑龙江省齐齐哈尔市建华区中华街169号福顺小区6号楼,电话：0452-2565666,
齐齐哈尔齐泰医药王屯分店,地址：黑龙江省齐齐哈尔市建华区黎明村黎阳二路,电话：0452-2571118,
齐齐哈尔齐泰医药龙华路分店,地址：黑龙江省齐齐哈尔市龙沙区龙华路85号,电话：0452-2407011,
齐齐哈尔齐泰医药新民分店,地址：黑龙江省齐齐哈尔市铁锋区新民西小区28号楼,电话：0452-2439998,
齐齐哈尔齐泰医药中华路分店,地址：黑龙江省齐齐哈尔市建华区邮政路45号,电话：0452-2587009,
齐齐哈尔齐泰医药合意分店,地址：黑龙江省齐齐哈尔市龙沙区合意大街127号群意小区106门市,电话：0452-2820188,
齐齐哈尔齐泰医药解放门分店,地址：黑龙江省齐齐哈尔市建华区卜奎大街231号,电话：0452-2686828,
齐齐哈尔齐泰医药东市场分店,地址：黑龙江省齐齐哈尔市建华区东四道街145号,电话：0452-2683778,
齐齐哈尔齐泰医药阳光分店,地址：黑龙江省齐齐哈尔市建华区阳光花园1号楼11号门市,电话：0452-2134700,
齐齐哈尔齐泰医药西园分店,地址：黑龙江省齐齐哈尔市西园街96号,电话：无,
齐齐哈尔齐泰医药南马路分店,地址：黑龙江省齐齐哈尔市铁峰区南马路96号,电话：0452-2228837,
齐齐哈尔齐泰医药鹤乡分店,地址：黑龙江省齐齐哈尔市龙沙区平阳街155号鹤乡新城8号楼00单元01层10号,电话：0452-2286808,
齐齐哈尔齐泰医药南山分店,地址：黑龙江省齐齐哈尔市铁峰区木海街95号,电话：0452-2223438,
齐齐哈尔齐泰医药四中分店,地址：黑龙江省齐齐哈尔市龙沙区斜阳街25号,电话：0452-2415055,
齐齐哈尔齐泰医药连锁有限公司北局宅分店,地址：黑龙江省齐齐哈尔市铁锋区北局宅职工小区12号楼1层18商服,电话：0452-2228803,
齐齐哈尔齐泰医药永青分店,地址：黑龙江省齐齐哈尔市龙沙区青云街电业综合楼68号,电话：0452-2426998,
齐齐哈尔齐泰医药客运分店,地址：黑龙江省齐齐哈尔市铁锋区富丽街14号,电话：0452-2116188,
齐齐哈尔齐泰医药公园分店,地址：黑龙江省齐齐哈尔市龙沙区公园2号门老年公寓一楼门市,电话：0452-2424866,
齐齐哈尔齐泰医药新开路分店,地址：黑龙江省齐齐哈尔市龙沙区正阳街安仁委龙华路481号,电话：0452-2415558,
齐齐哈尔齐泰医药开心分店,地址：黑龙江省齐齐哈尔市铁峰区平安南街10号,电话：0452-8923069,
齐齐哈尔齐泰医药永安分店,地址：黑龙江省齐齐哈尔市龙沙区公园路25号永安小区2号楼,电话：0452-2434567,
齐齐哈尔齐泰医药铁东分店,地址：黑龙江省齐齐哈尔市铁峰区中华东路237号,电话：0452-2536688,
齐齐哈尔齐泰医药五福分店,地址：黑龙江省齐齐哈尔市龙沙区卜奎南大街192号,电话：0452-2228901,
齐齐哈尔安泰医药三院店,地址：黑龙江省齐齐哈尔市铁锋区平安南街二院综合楼B单元1-2层,电话：0452-2136195,
齐齐哈尔安泰医药佳康店,地址：黑龙江省齐齐哈尔市铁锋区龙华小区15号楼1层3号,电话：0452-2126344,
齐齐哈尔安泰医药建华店,地址：黑龙江省齐齐哈尔市龙沙区五福小区3号楼,电话：0452-2286169,
齐齐哈尔安泰医药保和堂店,地址：黑龙江省齐齐哈尔市铁锋区中华东路95号,电话：0452-2519410,
齐齐哈尔安泰医药向阳路店,地址：黑龙江省齐齐哈尔市富拉尔基区红岸办事处向阳路8#楼00单位01层04号,电话：0452-5896777,
齐齐哈尔安泰医药公园路店,地址：黑龙江省齐齐哈尔市龙沙区永安小区13号楼1-2层2号,电话：0452-2473099,
齐齐哈尔安泰医药三百客运店,地址：黑龙江省齐齐哈尔市龙沙区南马路273号（客运枢纽大厅）,电话：0452-2227963,
齐齐哈尔安泰医药东客运店,地址：黑龙江省齐齐哈尔市公路客运总站客运东站候车大厅,电话：0452-5985116,
齐齐哈尔安泰医药雄鹰店,地址：黑龙江省齐齐哈尔市龙沙区安智小区36#楼00单元01层06号,电话：0452-2324209,
齐齐哈尔安泰医药铁东市场店,地址：黑龙江省齐齐哈尔市铁锋区人民小区43号楼00单元01层03号,电话：0452-2900017,
齐齐哈尔安泰医药龙康店,地址：黑龙江省齐齐哈尔市铁锋区中华路生产八栋二号,电话：0452-2515057,
齐齐哈尔安泰医药金安泰店,地址：黑龙江省齐齐哈尔市龙沙区南市场小区1号楼门市1-2层6号,电话：0452-5986656,
人民同泰药分店永源分店,地址：黑龙江省哈尔滨市道外区阿城市永源镇街里,电话：400-600-3777,
人民同泰总分店,地址：黑龙江省哈尔滨市道里区哈药路414号,电话：400-600-3777,
人民同泰沿河分店,地址：黑龙江省哈尔滨市呼兰区兰河大街200号,电话：400-600-3777,
人民同泰珠山分店,地址：黑龙江省哈尔滨市依兰县哈富公路附近,电话：400-600-3777,
人民同泰延兴分店,地址：黑龙江省哈尔滨市南岗区西大直街540号,电话：0451-87515288,
人民同泰中北分店,地址：黑龙江省哈尔滨市香坊区香滨路4号中北春城小区25栋3号门市,电话：400-600-3777,
人民同泰学府分店,地址：黑龙江省哈尔滨市南岗区学府三道街哈量新区36栋13门市,电话：0451-87503137,
人民同泰征仪分店,地址：黑龙江省哈尔滨市南岗区征仪路300号,电话：400-600-3777,
人民同泰兴建分店,地址：黑龙江省哈尔滨市平房区兴建大街32-42号吉祥座104门市,电话：0451-86112599,
人民同泰振江分店,地址：黑龙江省哈尔滨市道外区北环俊景小区1栋3门市,电话：0451-88987130,
人民同泰新月分店,地址：黑龙江省哈尔滨市平房区新月街110号,电话：400-600-3777,
人民同泰站前分店,地址：黑龙江省哈尔滨市阿城区市通城街33号,电话：400-600-3777,
人民同泰新友分店,地址：黑龙江省哈尔滨市平房区新疆大街280号,电话：0451-87102099,
人民同泰友协分店,地址：黑龙江省哈尔滨市平房区友协大街9-12号,电话：400-600-3777,
人民同泰新乡分店,地址：黑龙江省哈尔滨市道里区上江街与工农大街交汇处4栋6门市,电话：0451-84320037,
人民同泰怡园分店,地址：黑龙江省哈尔滨市道里区民生尚都小区怡园44栋5号,电话：400-600-3777,
人民同泰新疆大街店,地址：黑龙江省哈尔滨市平房区东方小区向东街75号,电话：0451-87372521,
人民同泰新国分店,地址：黑龙江省哈尔滨市平房区新国街32号,电话：400-600-3777,
人民同泰湘河路分店,地址：黑龙江省哈尔滨市香坊区湘江路1号,电话：0451-87986919,
人民同泰司徒分店,地址：黑龙江省哈尔滨市香坊区六顺街129号,电话：400-600-3777,
人民同泰西乡坊分店,地址：黑龙江省哈尔滨市香坊区公滨路549号,电话：0451-87975318,
人民同泰商都分店,地址：黑龙江省哈尔滨市巴彦县南直路康大综合楼,电话：400-600-3777,
人民同泰密山知一分店,地址：黑龙江省鸡西市密山市119县道附近,电话：400-600-3777,
人民同泰西典分店,地址：黑龙江省哈尔滨市南岗区哈西大街380号西典家园AS4栋5号商服,电话：0451-51991926,
人民同泰山水分店,地址：黑龙江省哈尔滨市道里区工农大街631号,电话：0451-84375357,
人民同泰密山兴凯分店,地址：黑龙江省鸡西市密山市309省道附近,电话：400-600-3777,
人民同泰科研分店,地址：黑龙江省哈尔滨市南岗区征仪花园小区B区115栋2门市,电话：400-600-3777,
人民同泰五星分店,地址：黑龙江省哈尔滨市道外区民主西环路附近,电话：400-600-3777,
人民同泰农林分店,地址：黑龙江省哈尔滨市香坊区农林五道街9号,电话：0451-82106802,
人民同泰密山连珠山分店,地址：黑龙江省鸡西市密山市连珠山镇房地产管理处附近,电话：400-600-3777,
人民同泰康全分店,地址：黑龙江省哈尔滨市道里区康安路79号,电话：0451-84609523,
人民同泰文昌分店,地址：黑龙江省哈尔滨市南岗区文昌街22-6号,电话：400-600-3777,
人民同泰南安分店,地址：黑龙江省哈尔滨市南岗区芦家街附近,电话：400-600-3777,
人民同泰佳木斯爱心分店,地址：黑龙江省佳木斯西林路11号,电话：400-600-3777,
人民同泰密山白泡子分店,地址：黑龙江省鸡西市密山市061乡道附近,电话：400-600-3777,
人民同泰康德药品超市,地址：黑龙江省哈尔滨市南岗区邮政街317号,电话：400-600-3777,
人民同泰同江分店,地址：黑龙江省佳木斯市同江市郊区同江市同三路佳同大厦西数一门,电话：400-600-3777,
人民同泰木介分店,地址：黑龙江省哈尔滨市南岗区木介51号,电话：0451-86207296,
人民同泰桦南分店,地址：黑龙江省佳木斯市桦南县新兴路91号,电话：400-600-3777,
人民同泰龙江分店,地址：黑龙江省哈尔滨市南岗区龙江街15号,电话：0451-87533217,
人民同泰康安分店,地址：黑龙江省哈尔滨市道里区群力新区民生尚都E区底商（怡园45B栋5号）,电话：400-600-3777,
人民同泰通达分店,地址：黑龙江省哈尔滨市南岗区通达街8号,电话：0451-86374244,
人民同泰牡福民分店,地址：黑龙江省牡丹江市东安区东一条路福民街交叉口,电话：400-600-3777,
人民同泰华中分店,地址：黑龙江省哈尔滨市道里区尚志大街110号,电话：400-600-3777,
人民同泰林口分店,地址：黑龙江省牡丹江市林口县林口镇新华路海洋小区13号楼,电话：400-600-3777,
人民同泰铁岭分店,地址：黑龙江省哈尔滨市南岗区铁岭街69号,电话：0451-87536009,
人民同泰军民分店,地址：黑龙江省哈尔滨市香坊区军民街24号立汇格林小镇A区29栋1门市,电话：0451-87278153,
人民同泰闽江分店,地址：黑龙江省哈尔滨市南岗区华鸿路附近,电话：400-600-3777,
人民同泰宏泰分店,地址：黑龙江省哈尔滨市道里区透笼街92号近尚志大街,电话：400-600-3777,
人民同泰联盟分店,地址：黑龙江省哈尔滨市平房区联盟大街127-1号（机电嘉园小区12栋10门市）,电话：0451-86500134,
人民同泰建文分店,地址：黑龙江省哈尔滨市平房区建文街9-6号附近,电话：400-600-3777,
人民同泰太古分店,地址：黑龙江省哈尔滨市道外区南十四道街111号,电话：0451-88904708,
人民同泰民尚分店,地址：黑龙江省哈尔滨市道里区民生尚都小区瑞园31栋M5门市,电话：0451-84360142,
人民同泰恒祥分店,地址：黑龙江省哈尔滨市道里区康安路2号恒祥城小区1期3栋8号门市,电话：0451-51660154,
人民同泰黎明分店,地址：黑龙江省哈尔滨市香坊区进乡街130-2-3号,电话：0451-87279021,
人民同泰松北分店,地址：黑龙江省哈尔滨市松北区松北一路41号,电话：0451-88102023,
人民同泰建通分店,地址：黑龙江省哈尔滨市道里区建国街235号,电话：400-600-3777,
人民同泰赫时分店,地址：黑龙江省哈尔滨市道里区方正县中央大街167号,电话：400-600-3777,
人民同泰民安街分店,地址：黑龙江省哈尔滨市道里区民安街82—86号,电话：400-600-3777,
人民同泰黎华分店,地址：黑龙江省哈尔滨市道外区安华街20号黎华小区B栋1层60号门市,电话：0451-82586015,
人民同泰建安分店,地址：黑龙江省哈尔滨市平房区窑地337栋85号,电话：0451-87108913,
人民同泰好民居分店,地址：黑龙江省哈尔滨市道外区滨江街好民居F1栋8门市1-2层,电话：0451-58963168,
人民同泰乐园分店,地址：黑龙江省哈尔滨市香坊区乐园街春江家园C栋6号门市,电话：0451-82106813,
人民同泰佳木斯中心分店,地址：黑龙江省佳木斯市富锦市建三江农垦管局三江国际购物广场南侧6号门市,电话：400-600-3777,
人民同泰汉水分店,地址：黑龙江省哈尔滨市南岗区汉水路423号,电话：0451-88076515,
人民同泰佳木斯长安分店,地址：黑龙江省佳木斯市佳木斯市区长安路540号,电话：400-600-3777,
人民同泰光明分店,地址：黑龙江省哈尔滨市南岗区王岗大街1号,电话：400-600-3777,
人民同泰光芒分店,地址：黑龙江省哈尔滨市南岗区文昌街89号,电话：0451-82602175,
人民同泰复华分店,地址：黑龙江省哈尔滨市南岗区富华小区C6栋1单元1层1号门市,电话：0451-58872642,
人民同泰东直分店,地址：黑龙江省哈尔滨市尚志市中央大街184号,电话：400-600-3777,
人民同泰北大营分店,地址：黑龙江省鸡西市密山市光复路与东安街交口北45米,电话：400-600-3777,
人民同泰东轻分店,地址：黑龙江省哈尔滨市平房区新疆三道街东轻家园小区115栋7门市,电话：0451-86119033,
人民同泰东大直街分店,地址：黑龙江省哈尔滨市南岗区东大直街163号,电话：400-600-3777,
人民同泰电塔分店,地址：黑龙江省哈尔滨市香坊区电塔街海顺新苑小区6栋5门市,电话：0451-82929506,
人民同泰保建分店,地址：黑龙江省哈尔滨市南岗区保健路65号,电话：400-600-3777,
人民同泰第一经销部分店,地址：黑龙江省哈尔滨市南岗区吉林街附近,电话：400-600-3777,
人民同泰大安分店,地址：黑龙江省哈尔滨市道里区经纬街208号,电话：400-600-3777,
人民同泰齿轮路分店,地址：黑龙江省哈尔滨市道里区工农大街80号,电话：0451-51717790,
人民同泰城东分店,地址：黑龙江省哈尔滨市香坊区城东新区B区6号楼12号商服,电话：0451-55148962,
人民同泰宾洲镇分店,地址：黑龙江省哈尔滨市宾县宾洲镇奋斗街文化综合楼,电话：400-600-3777,
集贤县双源大药房,地址：黑龙江省双鸭山集贤县福利镇保卫路327号（福利屯火车站休闲广场道东）,电话：0469-4667633,
安达德仁堂大药房牛街店,地址：黑龙江省绥化市安达市牛街180号,电话：0455-7349277,
德仁堂大药房悦来大街店,地址：黑龙江省佳木斯市桦川县悦来大街与长青路交口附近,电话：无,
德仁堂大药房兴园中路店,地址：黑龙江省鸡西市鸡冠区兴园中路55号,电话：0467-2651222,
德仁堂大药房康德屯店,地址：黑龙江省大庆市红岗区康德屯附近,电话：0459-4993328,
鹤岗百年一辰医药九十五分店,地址：黑龙江省鹤岗市绥滨县第三小学校门南侧 ,电话：无,
鹤岗百年一辰医药九十三分店,地址：黑龙江省鹤岗市绥滨县裕祥嘉园小区西 ,电话：无,
鹤岗百年一辰医药一百分店,地址：黑龙江省鹤岗市萝北县宝泉岭管理局中心医院康馨花园小区商服A区103室,电话：无,
鹤岗百年一辰医药七十六分店,地址：黑龙江省鹤岗市绥滨县大世界楼下,电话：无,
鹤岗百年一辰医药九十九分店,地址：黑龙江省鹤岗市萝北县宝泉岭大街北文化路西1栋0104号,电话：无,
鹤岗百年一辰医药七十一分店,地址：黑龙江省鹤岗市绥滨县中医院对面 ,电话：无,
鹤岗百年一辰医药八十四分店,地址：黑龙江省鹤岗市萝北县宝泉岭老市场西老市场综合楼1栋0147号,电话：无,
鹤岗百年一辰医药六十一分店,地址：黑龙江省鹤岗市绥滨县金山小区道北 ,电话：无,
鹤岗百年一辰医药七十五分店,地址：黑龙江省鹤岗市萝北县宝泉岭共青路商业街西中央商城1幢107号,电话：无,
鹤岗百年一辰医药二十一分店,地址：黑龙江省鹤岗市绥滨县市场北大门西斜对面,电话：无,
鹤岗百年一辰医药七十四分店,地址：黑龙江省鹤岗市萝北县宝泉岭局直三十五委3栋1楼2号,电话：无,
鹤岗百年一辰医药二十分店,地址：黑龙江省鹤岗市绥滨县烟草楼对面 ,电话：无,
鹤岗百年一辰医药四十六分店,地址：黑龙江省鹤岗市萝北县宝泉岭明山街共青路121号门市,电话：无,
鹤岗百年一辰医药十九分店,地址：黑龙江省鹤岗市绥滨县客运站对面,电话：无,
鹤岗百年一辰医药一百零四分店,地址：黑龙江省鹤岗市萝北凤翔镇二委（财政综合楼东1号门）,电话：无,
鹤岗百年一辰医药一百零五分店,地址：黑龙江省鹤岗市萝北县宝泉岭局直一委22栋一楼22号,电话：无,
鹤岗百年一辰医药八十八分店,地址：黑龙江省鹤岗市萝北县凤翔和谐富园小区3号楼,电话：无,
鹤岗百年一辰医药一百零三分店,地址：黑龙江省鹤岗市萝北县宝泉岭局直十八委1栋比优特广场购物中心一层11005号商服,电话：无,
鹤岗百年一辰医药八十七分店,地址：黑龙江省鹤岗市萝北县凤翔镇九委（畜牧局综合楼1层104室）,电话：无,
鹤岗百年一辰医药八十五分店,地址：黑龙江省鹤岗市萝北县永泰2号综合楼一层5号商服楼,电话：无,
鹤岗百年一辰医药八十分店,地址：黑龙江省鹤岗市萝北县凤翔镇9委（原百货小区东北角一层）,电话：无,
鹤岗百年一辰医药一百零二店,地址：黑龙江省鹤岗市工农区 老交通局对面供销社一楼107房,电话：无,
鹤岗百年一辰医药七十三分店,地址：黑龙江省鹤岗市萝北县凤翔镇2委110号一、二层,电话：无,
鹤岗百年一辰医药一百零一店,地址：黑龙江省鹤岗市新华市场华苑尚都小区1号楼,电话：无,
鹤岗百年一辰医药七十分店,地址：黑龙江省鹤岗市萝北县凤翔镇16委兴运综合楼一层北一号,电话：无,
鹤岗百年一辰医药八十六分店,地址：黑龙江省鹤岗市工农区新鹤A区3号楼,电话：无,
鹤岗百年一辰医药九十八分店,地址：黑龙江省鹤岗市工农区18委贸易局3#楼（甲栋）109室,电话：无,
鹤岗百年一辰医药六十九分店,地址：黑龙江省鹤岗市萝北县凤翔镇15委亚翔综合楼1--层5号,电话：无,
鹤岗百年一辰医药八十三分店,地址：黑龙江省鹤岗市工农区20委公用事业局办公楼104室和204室,电话：无,
鹤岗百年一辰医药九十七分店,地址：黑龙江省鹤岗市双鹤小 区4号楼1单元101户,电话：无,
鹤岗百年一辰医药六十八分店,地址：黑龙江省鹤岗市萝北县15委亚翔综合楼,电话：无,
鹤岗百年一辰医药八十二分店,地址：黑龙江省鹤岗市工农区11委团结小区1幢101号,电话：无,
黑龙江省密山市泰和药店,地址：黑龙江省鸡西密山市855农场中心街市场,电话：0467-5075569,
鹤岗百年一辰医药五十五分店,地址：黑龙江省鹤岗市工农区文化小区一号楼106室,电话：无,
鹤岗百年一辰医药九十六分店,地址：黑龙江省鹤岗市7委绿洲小区商服楼101室,电话：无,
鹤岗百年一辰医药六十七分店,地址：黑龙江省鹤岗市萝北县凤翔镇9委昌盛综合楼南1号门,电话：无,
鹤岗百年一辰医药八十一分店,地址：黑龙江省鹤岗市新华农场恒祥花园小区2号楼0123室,电话：无,
鹤岗百年一辰医药六十二分店,地址：黑龙江省鹤岗市兴山区 5委红卫小区A栋108室,电话：无,
鹤岗百年一辰医药五十四分店,地址：黑龙江省鹤岗市向阳区17委四组昆明路阳光大厦,电话：无,
鹤岗百年一辰医药九十四分店,地址：黑龙江省鹤岗市南山区机电总厂7#楼113室,电话：无,
鹤岗百年一辰医药六十四分店,地址：黑龙江省鹤岗市萝北县医院门市2号门,电话：无,
鹤岗百年一辰医药七十九分店,地址：黑龙江省鹤岗市鹿林商贸中心综合楼105室（门市）,电话：无,
鹤岗百年一辰医药六十分店,地址：黑龙江省鹤岗市新华广场中心区,电话：无,
